dataset,mode,patch_id,delta_dice,delta_boundary_dice,delta_aji,delta_pq,delta_confounder_fpr
TNBC,repair,Slide_02_02_3,-0.01023396108996133,0.034927203057246725,0.1136207579296949,0.10667867077007404,-0.13137755102040816
CryoNuSeg,repair,Human_Larynx_03,0.027421110468918264,0.04468603816710015,0.057016939253271004,0.05589785046833262,-0.02486661585365857
CoNSeP,repair,train_12_y640_x640,0.058922646135058265,0.0818354879947727,0.11315499398111739,0.12400471331747903,0.03609154929577463
CoNSeP,failure,train_12_y128_x0,-0.25107951703091713,-0.18941015889770968,-0.1700825660909231,-0.08418534750160632,0.005544354838709686
