dataset,model,label,score,positives,negatives,auroc_directional,auprc,run
MoNuSeg,point_seed42,high_error_ge_q0.75,sfrm_balanced_score,42,126,0.9754346182917611,0.9157017078944638,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,global_mean_entropy,42,126,0.8977702191987906,0.567919774491219,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,global_max_entropy,42,126,0.6844293272864701,0.182828751895452,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,global_mean_margin_uncertainty,42,126,0.8968253968253969,0.5667995102861147,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,foreground_area_frac,42,126,0.8849206349206349,0.5655861226935915,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,boundary_risk_score,42,126,0.7411186696900982,0.1681497940767363,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,boundary_overconfidence_score,42,126,0.7526455026455027,0.5205791864736716,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,boundary_abnormality_score,42,126,0.5585789871504158,0.2286673946840611,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,boundary_dual_risk_score,42,126,0.5736961451247166,0.3770283886660748,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,uncertainty_cluster_score,42,126,0.8671579743008315,0.5463576013876776,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,topology_risk_score,42,126,0.85062358276644,0.5897908451525918,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,sfrm_composite_score,42,126,0.8448601662887377,0.5163142232172135,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,sfrm_balanced_score,42,126,0.8748110355253212,0.5788127040847454,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,global_mean_entropy,42,126,0.7874149659863946,0.1608152143772816,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,global_max_entropy,42,126,0.6358654572940288,0.5143249823750152,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,global_mean_margin_uncertainty,42,126,0.7813681027966741,0.1617952587119425,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,foreground_area_frac,42,126,0.7091836734693877,0.1754783365123594,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,boundary_risk_score,42,126,0.6254724111866969,0.2115738373312342,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,boundary_overconfidence_score,42,126,0.653817082388511,0.3741511152744882,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,boundary_abnormality_score,42,126,0.5290060468631897,0.250698064724673,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,boundary_dual_risk_score,42,126,0.5560279667422524,0.2937528099490319,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,uncertainty_cluster_score,42,126,0.7056878306878307,0.1754909322269587,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,topology_risk_score,42,126,0.7145691609977325,0.1748321631252622,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,sfrm_composite_score,42,126,0.7777777777777778,0.1624561199858563,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,sfrm_balanced_score,42,126,0.6839569160997732,0.1797232485215017,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,global_mean_entropy,42,126,0.9986772486772488,0.9961867550130692,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,global_max_entropy,42,126,0.5020786092214664,0.2524763207484061,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,global_mean_margin_uncertainty,42,126,0.9998110355253212,0.9994462901439646,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,foreground_area_frac,42,126,0.9996220710506424,0.9989177489177488,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,boundary_risk_score,42,126,0.539021164021164,0.237472828622449,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,boundary_overconfidence_score,42,126,0.5078420256991686,0.2554600186902361,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,boundary_abnormality_score,42,126,0.5359977324263039,0.2786661340531623,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,boundary_dual_risk_score,42,126,0.5254157218442933,0.2595198430500253,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,uncertainty_cluster_score,42,126,0.994520030234316,0.9847407198234726,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,topology_risk_score,42,126,0.9843159486016628,0.957334022112898,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,sfrm_composite_score,42,126,0.9896069538926682,0.9748269095936256,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,sfrm_balanced_score,42,126,0.9754346182917611,0.9157017078944638,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,gray_high_dice_high_boundary_error,global_mean_entropy,8,160,0.7593749999999999,0.0976232968732233,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,gray_high_dice_high_boundary_error,global_max_entropy,8,160,0.81171875,0.0317638900065995,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,gray_high_dice_high_boundary_error,global_mean_margin_uncertainty,8,160,0.75546875,0.096207928832718,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,gray_high_dice_high_boundary_error,foreground_area_frac,8,160,0.74921875,0.09604554922902,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,gray_high_dice_high_boundary_error,boundary_risk_score,8,160,0.868359375,0.0294853852171651,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,gray_high_dice_high_boundary_error,boundary_overconfidence_score,8,160,0.89765625,0.4731000481000481,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,gray_high_dice_high_boundary_error,boundary_abnormality_score,8,160,0.5421875,0.0825615777989223,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,gray_high_dice_high_boundary_error,boundary_dual_risk_score,8,160,0.7902343749999999,0.377951203742343,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,gray_high_dice_high_boundary_error,uncertainty_cluster_score,8,160,0.6921875,0.0821127093927653,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,gray_high_dice_high_boundary_error,topology_risk_score,8,160,0.643359375,0.0727952633593296,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,gray_high_dice_high_boundary_error,sfrm_composite_score,8,160,0.5921875000000001,0.0625965807362425,stage1_review_budget_monuseg_point_seed42
MoNuSeg,point_seed42,gray_high_dice_high_boundary_error,sfrm_balanced_score,8,160,0.7531249999999999,0.1091472274865509,stage1_review_budget_monuseg_point_seed42
MoNuSeg,prototype_seed42,bad_dice_lt_0.65,global_mean_entropy,31,137,0.583941605839416,0.1762666733616809,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,bad_dice_lt_0.65,global_max_entropy,31,137,0.5540381445726394,0.1666957967933258,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,bad_dice_lt_0.65,global_mean_margin_uncertainty,31,137,0.6632917353425948,0.1441008141613866,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,bad_dice_lt_0.65,foreground_area_frac,31,137,0.9192371085472096,0.1056532537806831,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,bad_dice_lt_0.65,boundary_risk_score,31,137,0.9709206498704968,0.904165928014708,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,bad_dice_lt_0.65,boundary_overconfidence_score,31,137,0.9761007770190724,0.1030114060349868,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,bad_dice_lt_0.65,boundary_abnormality_score,31,137,0.9509065222510008,0.8969057448606436,stage1_review_budget_monuseg_proto_seed42
