patch_id,feat__global_uncertainty__mean_entropy,feat__global_uncertainty__max_entropy,feat__global_uncertainty__mean_margin_uncertainty,feat__global_uncertainty__max_margin_uncertainty,feat__global_uncertainty__foreground_area_frac,feat__boundary_risk__pred_boundary_area_frac,feat__boundary_risk__boundary_mean_entropy,feat__boundary_risk__boundary_max_entropy,feat__boundary_risk__boundary_mean_margin_uncertainty,feat__boundary_risk__boundary_high_entropy_frac,feat__uncertainty_cluster__high_uncertainty_area_frac,feat__uncertainty_cluster__high_uncertainty_threshold,feat__uncertainty_cluster__high_uncertainty_component_count,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,feat__uncertainty_cluster__high_uncertainty_small_component_count,feat__topology_risk__component_count,feat__topology_risk__largest_component_area_frac,feat__topology_risk__small_component_count,feat__topology_risk__mean_component_area_frac,feat__topology_risk__component_area_cv,feat__topology_risk__mean_eccentricity,feat__topology_risk__mean_solidity,feat__topology_risk__euler_number,feat__topology_risk__threshold_component_count_std,feat__topology_risk__threshold_area_frac_std,feat__topology_risk__threshold_euler_std,feat__anatomical_topological_consistency__opening_residual_frac,feat__anatomical_topological_consistency__closing_residual_frac,eval__dice,eval__boundary_dice,eval__error_area_frac,eval__boundary_error_area_frac,eval__lecr_uncertainty,eval__lecr_boundary_error
TCGA-2Z-A9J9-01A-01-TS1_y0_x128,0.3690786361694336,0.6931471824645996,0.36556190252304077,0.999984860420227,0.365814208984375,0.1420745849609375,0.6701900362968445,0.6931471824645996,0.8854102492332458,0.5851143808398668,0.1500091552734375,0.6925013065338135,13.0,0.0442657470703125,1.0,13.0,0.1008453369140625,1.0,0.028139554537259616,0.8906597943823885,0.8095875946426692,0.8220394645586228,13.0,7.0710678118654755,0.0815204622930827,7.0710678118654755,0.00030517578125,0.0006103515625,0.6455711910266161,0.3206856799191986,0.2179107666015625,0.109954833984375,0.35815449558903834,0.504586513545938
TCGA-2Z-A9J9-01A-01-TS1_y0_x256,0.3793993592262268,0.6931471824645996,0.3767692446708679,0.9999980926513672,0.3928070068359375,0.14886474609375,0.6680530309677124,0.6931471824645996,0.8792863488197327,0.5657031570315704,0.1500091552734375,0.6926756501197815,16.0,0.03924560546875,2.0,16.0,0.0948944091796875,0.0,0.024550437927246094,1.0168643757289444,0.7429732004827616,0.8675331373859954,16.0,7.586537784494028,0.08367714051208243,7.586537784494028,0.0002288818359375,0.00048828125,0.6744598108482536,0.3130984560438306,0.2158660888671875,0.1202850341796875,0.3456970762397402,0.5572206121399786
TCGA-2Z-A9J9-01A-01-TS1_y0_x384,0.40647581219673157,0.6931471824645996,0.412270724773407,0.9999977350234985,0.431488037109375,0.164276123046875,0.6683306694030762,0.6931471824645996,0.8798441886901855,0.5312093628088427,0.1500091552734375,0.6929222345352173,22.0,0.0229339599609375,4.0,17.0,0.0557708740234375,0.0,0.025381649241727942,0.6359045310540147,0.7812127315417834,0.8472566934427933,14.0,8.956685895029603,0.09150979313640686,10.370899457402697,0.0003662109375,0.0004425048828125,0.6880293071873979,0.3301535697509083,0.2209014892578125,0.1241912841796875,0.3375356741816773,0.5622021136937059
TCGA-2Z-A9J9-01A-01-TS1_y0_x512,0.38811546564102173,0.6931471824645996,0.3912714719772339,0.9999971389770508,0.402191162109375,0.1584625244140625,0.667016327381134,0.6931471824645996,0.8776170015335083,0.5429947038998556,0.1500091552734375,0.6928387880325317,24.0,0.0396728515625,5.0,18.0,0.0927581787109375,0.0,0.022343953450520832,0.9107215842801685,0.7790866689150934,0.8708265985554555,16.0,8.013876853447538,0.08847025107720834,8.956685895029603,0.0003204345703125,0.0009307861328125,0.6845418512481125,0.3210045662131461,0.206451416015625,0.1180572509765625,0.33129159853586954,0.5718403547629576
TCGA-2Z-A9J9-01A-01-TS1_y128_x256,0.368147075176239,0.6931471824645996,0.3614484667778015,0.9999610185623169,0.3834075927734375,0.146575927734375,0.6657914519309998,0.6931471824645996,0.8739222884178162,0.5776597959608578,0.1500244140625,0.6925097703933716,18.0,0.034271240234375,4.0,17.0,0.09466552734375,1.0,0.022553387810202205,0.961902422613904,0.676659531911026,0.8540700069205746,17.0,8.178562764256865,0.08081588298522023,8.498365855987975,0.0002288818359375,0.00030517578125,0.717033215676267,0.31630865677460906,0.190826416015625,0.11810302734375,0.3144377228905107,0.6189029265902855
TCGA-2Z-A9J9-01A-01-TS1_y128_x384,0.39964935183525085,0.6931471824645996,0.4063551127910614,0.9999916553497314,0.4427947998046875,0.16607666015625,0.6659961342811584,0.6931471824645996,0.8753043413162231,0.518834987137082,0.1500091552734375,0.693000078201294,21.0,0.0262603759765625,3.0,17.0,0.070281982421875,0.0,0.0260467529296875,0.8590924625321307,0.7685186072324667,0.8334193919355928,15.0,11.728408057172787,0.09354948000792901,12.96148139681572,0.0002288818359375,0.0006256103515625,0.6921960382520231,0.3142392328139642,0.22003173828125,0.12774658203125,0.34544277269820317,0.5805825242678184
TCGA-2Z-A9J9-01A-01-TS1_y256_x128,0.3751411736011505,0.6931471824645996,0.36795198917388916,0.9999688863754272,0.3835296630859375,0.14788818359375,0.6652103066444397,0.6931471824645996,0.8708881735801697,0.5702641353693768,0.1500091552734375,0.692572832107544,20.0,0.0489501953125,2.0,18.0,0.125518798828125,0.0,0.021307203504774306,1.2702173183818333,0.7472662201324245,0.8721640780571849,18.0,6.599663291074443,0.0811796632404528,6.599663291074443,0.0001983642578125,0.000579833984375,0.7097938633995683,0.28796616686232235,0.18646240234375,0.116546630859375,0.31088764073291864,0.6250409165251632
TCGA-2Z-A9J9-01A-01-TS1_y256_x256,0.36709028482437134,0.6931471824645996,0.35759907960891724,0.9999865293502808,0.3860015869140625,0.1453704833984375,0.6632218360900879,0.6931471824645996,0.8669492602348328,0.5900073475385745,0.1500091552734375,0.6921314001083374,21.0,0.03778076171875,4.0,18.0,0.08697509765625,0.0,0.021444532606336806,0.8430172470474427,0.7572027208783463,0.8894142932703237,18.0,5.715476066494082,0.07764141000613256,5.90668171555645,0.0002593994140625,0.000396728515625,0.7322754268751571,0.28902922602786,0.17608642578125,0.1139068603515625,0.3011444849293827,0.6468804159389351
TCGA-2Z-A9J9-01A-01-TS1_y256_x384,0.3841894865036011,0.6931471824645996,0.3810960054397583,0.9999809265136719,0.4207763671875,0.156951904296875,0.662980854511261,0.6931471824645996,0.867265522480011,0.5649426404822089,0.1500091552734375,0.6926014423370361,20.0,0.0352935791015625,5.0,17.0,0.08184814453125,1.0,0.02475155101102941,0.8510622173815703,0.7850137333399073,0.8506975264394062,16.0,6.128258770283411,0.08358153216034753,6.599663291074443,0.0003204345703125,0.00079345703125,0.7108625125859472,0.3161871813578105,0.1971893310546875,0.1187286376953125,0.3218513163169094,0.602104774428522
TCGA-2Z-A9J9-01A-01-TS1_y384_x384,0.3894916772842407,0.6931471824645996,0.3902096152305603,0.9999933242797852,0.4006195068359375,0.1568603515625,0.669769823551178,0.6931471824645996,0.8834987282752991,0.558852140077821,0.1500091552734375,0.6927018165588379,19.0,0.024658203125,2.0,19.0,0.060760498046875,1.0,0.021085237201891448,0.7396953210957156,0.764511613803451,0.8569266508951373,19.0,7.3181661333667165,0.0859974055700733,7.3181661333667165,0.00030517578125,0.0008392333984375,0.6831150930400113,0.30826152117221683,0.210479736328125,0.1166534423828125,0.32983122419561944,0.554226475275089
