patch_id,feat__global_uncertainty__mean_entropy,feat__global_uncertainty__max_entropy,feat__global_uncertainty__mean_margin_uncertainty,feat__global_uncertainty__max_margin_uncertainty,feat__global_uncertainty__foreground_area_frac,feat__boundary_risk__pred_boundary_area_frac,feat__boundary_risk__boundary_mean_entropy,feat__boundary_risk__boundary_max_entropy,feat__boundary_risk__boundary_mean_margin_uncertainty,feat__boundary_risk__boundary_high_entropy_frac,feat__uncertainty_cluster__high_uncertainty_area_frac,feat__uncertainty_cluster__high_uncertainty_threshold,feat__uncertainty_cluster__high_uncertainty_component_count,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,feat__uncertainty_cluster__high_uncertainty_small_component_count,feat__topology_risk__component_count,feat__topology_risk__largest_component_area_frac,feat__topology_risk__small_component_count,feat__topology_risk__mean_component_area_frac,feat__topology_risk__component_area_cv,feat__topology_risk__mean_eccentricity,feat__topology_risk__mean_solidity,feat__topology_risk__euler_number,feat__topology_risk__threshold_component_count_std,feat__topology_risk__threshold_area_frac_std,feat__topology_risk__threshold_euler_std,feat__anatomical_topological_consistency__opening_residual_frac,feat__anatomical_topological_consistency__closing_residual_frac,eval__dice,eval__boundary_dice,eval__error_area_frac,eval__boundary_error_area_frac,eval__lecr_uncertainty,eval__lecr_boundary_error
test_10_y0_x0,0.41156384348869324,0.6931471824645996,0.3760499954223633,0.9999892711639404,0.3269500732421875,0.1413116455078125,0.6797966957092285,0.6931471824645996,0.8870169520378113,0.761688802505129,0.1500091552734375,0.6795772314071655,10.0,0.1132049560546875,4.0,7.0,0.256011962890625,0.0,0.0467071533203125,1.8490136853240517,0.8653039004848929,0.7746524898979505,7.0,0.9428090415820634,0.05518778995676193,0.9428090415820634,0.0003204345703125,0.000579833984375,0.7962702505605139,0.3923729219595057,0.119354248046875,0.0990142822265625,0.17237545448668806,0.82958322678561
test_10_y0_x128,0.4027891755104065,0.6931471824645996,0.3692786693572998,0.9999668598175049,0.336212158203125,0.152801513671875,0.6775375008583069,0.6931471824645996,0.8773624300956726,0.6926303175554224,0.1500091552734375,0.6843388676643372,8.0,0.1448822021484375,6.0,12.0,0.108734130859375,3.0,0.028017679850260418,1.458019334033513,0.7851668402864146,0.8602359415405241,10.0,2.357022603955158,0.06001689198821306,2.494438257849294,0.0005645751953125,0.0006866455078125,0.7479928757370928,0.36899771341764004,0.1403350830078125,0.1034393310546875,0.20018616593397576,0.7370881809205492
test_10_y0_x256,0.4227582812309265,0.6931471824645996,0.4027900695800781,0.999976396560669,0.3634796142578125,0.1902923583984375,0.6753774285316467,0.6931471824645996,0.8706274628639221,0.5734103119236629,0.1500091552734375,0.6911141276359558,9.0,0.12982177734375,4.0,15.0,0.1229705810546875,2.0,0.024231974283854166,1.5179898294695378,0.7062664215627101,0.8647565715362596,13.0,4.242640687119285,0.07298624176432511,5.2493385826745405,0.000457763671875,0.0003662109375,0.7087646831038885,0.355133775442659,0.1721343994140625,0.133758544921875,0.22922549176134469,0.7770587713786272
test_10_y0_x384,0.4347124397754669,0.6931471824645996,0.4123895764350891,0.9999692440032959,0.3916473388671875,0.172027587890625,0.6759064197540283,0.6931471824645996,0.8722231388092041,0.6173496540713145,0.1500091552734375,0.6890150904655457,18.0,0.07421875,12.0,11.0,0.11932373046875,2.0,0.035604303533380684,1.3152179002844007,0.8147469272678166,0.8020864791516279,10.0,1.699673171197595,0.06626480870150246,1.4142135623730951,0.00042724609375,0.000518798828125,0.7247377075764302,0.3368761552705758,0.1813507080078125,0.135894775390625,0.23918599825823905,0.7493479175368165
test_10_y0_x512,0.4297187626361847,0.6931471824645996,0.39527803659439087,0.9999696016311646,0.376922607421875,0.1405792236328125,0.6807818412780762,0.6931471824645996,0.8899677991867065,0.7526321502225116,0.1500091552734375,0.6814160346984863,10.0,0.04864501953125,5.0,7.0,0.1891326904296875,3.0,0.05384608677455357,1.4881368259608105,0.6952594700959296,0.7904680551540372,6.0,0.9428090415820634,0.05630005606034259,1.247219128924647,0.000518798828125,0.00067138671875,0.7871235237944909,0.3656646751336554,0.1394500732421875,0.105224609375,0.1917558564686686,0.7545683335074453
test_10_y0_x640,0.39165037870407104,0.6931471824645996,0.3434305787086487,0.9999786615371704,0.2918548583984375,0.125152587890625,0.6777705550193787,0.6931471824645996,0.8756382465362549,0.8454035601072909,0.1500091552734375,0.6595027446746826,21.0,0.043243408203125,10.0,13.0,0.145904541015625,6.0,0.022450373722956732,2.023045741658145,0.8314272049862866,0.8532978858958061,13.0,2.449489742783178,0.04567932750567373,2.449489742783178,0.00079345703125,0.0006561279296875,0.7808210631401896,0.35419516644234955,0.107208251953125,0.0857086181640625,0.15821588890976485,0.7994591517107962
test_10_y128_x0,0.41500216722488403,0.6931471824645996,0.3830079734325409,0.9999595880508423,0.3936004638671875,0.1668701171875,0.673300564289093,0.6931471824645996,0.8626461625099182,0.6700804681784931,0.1500091552734375,0.6831308603286743,20.0,0.0452880859375,8.0,14.0,0.1548614501953125,3.0,0.02811431884765625,1.7675605786112025,0.7732152170208729,0.8474589432191328,14.0,0.4714045207910317,0.058440639315337106,0.4714045207910317,0.000640869140625,0.0007476806640625,0.7259791626477764,0.33999512552059474,0.173370361328125,0.1282958984375,0.22353242640829277,0.740010561514346
test_10_y128_x128,0.43824437260627747,0.6931471824645996,0.41276979446411133,0.9999635219573975,0.406341552734375,0.185211181640625,0.673913836479187,0.6931471824645996,0.8644114136695862,0.6124567474048442,0.1500091552734375,0.6885747909545898,13.0,0.066162109375,7.0,10.0,0.1815338134765625,2.0,0.0406341552734375,1.363086660944232,0.8086131896721668,0.7912349807468138,9.0,2.449489742783178,0.06563823394006764,2.0548046676563256,0.0003662109375,0.0006103515625,0.7049332476625856,0.34400710726816797,0.1891937255859375,0.1360015869140625,0.23743973240114347,0.7188482942114779
test_10_y128_x256,0.44839268922805786,0.6931471824645996,0.4344758987426758,0.9999935626983643,0.437957763671875,0.2138519287109375,0.6731430888175964,0.6931471824645996,0.8617116212844849,0.5520513735283624,0.157196044921875,0.6911976337432861,14.0,0.0699920654296875,6.0,10.0,0.134521484375,0.0,0.0437957763671875,0.8939114934796497,0.8474569159082147,0.756063035085817,9.0,3.2998316455372216,0.07757337353155924,3.7416573867739413,0.0004730224609375,0.0005950927734375,0.6712221701175248,0.322097874315204,0.2246551513671875,0.166107177734375,0.27088521186421155,0.7393873531159452
test_10_y128_x384,0.45860379934310913,0.6931471824645996,0.44979068636894226,1.0,0.4499359130859375,0.1977081298828125,0.6761062145233154,0.6931471824645996,0.8743730187416077,0.5694219340896812,0.1565399169921875,0.6911976337432861,20.0,0.0373382568359375,10.0,8.0,0.2764739990234375,0.0,0.05624198913574219,1.5359456519931167,0.8306838478112004,0.7844275467993612,5.0,2.449489742783178,0.0768513091605832,2.8674417556808756,0.0002899169921875,0.000518798828125,0.7118616513245304,0.3337117670651339,0.2163543701171875,0.1618499755859375,0.26371031940640827,0.7480781437284146
test_10_y128_x512,0.4294273555278778,0.6931471824645996,0.4004383981227875,0.9999761581420898,0.3778839111328125,0.1469573974609375,0.6801525354385376,0.6931471824645996,0.887802004814148,0.7119717578652268,0.1500091552734375,0.684637725353241,13.0,0.0602874755859375,7.0,7.0,0.2942962646484375,1.0,0.05398341587611607,1.830348067260717,0.7012301352460163,0.8017190568054319,5.0,2.494438257849294,0.059168824547719476,3.2998316455372216,0.0003204345703125,0.0007171630859375,0.7917506874431903,0.39233421394621265,0.138671875,0.10595703125,0.1893070193871611,0.7640845070338458
test_10_y128_x640,0.39553409814834595,0.6931471824645996,0.35278046131134033,0.9999994039535522,0.3069305419921875,0.1348724365234375,0.6744764447212219,0.6931471824645996,0.8638492226600647,0.7551759248783799,0.1500091552734375,0.6718221306800842,22.0,0.0467529296875,11.0,15.0,0.10308837890625,5.0,0.0204620361328125,1.5792071507956005,0.7936360466720578,0.8768591542848049,15.0,0.4714045207910317,0.050781247452792895,0.9428090415820634,0.000396728515625,0.000701904296875,0.7421445768265259,0.3658213775246661,0.127471923828125,0.0926971435546875,0.17434193027890563,0.7271965525409719
test_10_y256_x0,0.42970356345176697,0.6931471824645996,0.40246573090553284,0.9999765157699585,0.44866943359375,0.16961669921875,0.6756383776664734,0.6931471824645996,0.8712388873100281,0.6484346887369558,0.1500091552734375,0.6866776943206787,15.0,0.09283447265625,5.0,6.0,0.4205474853515625,1.0,0.07477823893229167,2.0691529627817657,0.7277863086934646,0.8455189786140953,2.0,0.816496580927726,0.06256608441246854,1.247219128924647,0.00042724609375,0.000946044921875,0.6871967478260104,0.2898255155250025,0.2183837890625,0.15142822265625,0.2700045476417539,0.6934041363841992
test_10_y256_x128,0.4512181878089905,0.6931471824645996,0.4258272349834442,0.9999966621398926,0.471527099609375,0.1759185791015625,0.6762862801551819,0.6931471824645996,0.8730840682983398,0.6461965478358921,0.1500091552734375,0.686913251876831,19.0,0.0351715087890625,9.0,5.0,0.374359130859375,0.0,0.094305419921875,1.5019426178646562,0.7949261678563913,0.7474127803443321,-1.0,1.247219128924647,0.06241701041960629,0.9428090415820634,0.0002593994140625,0.0007476806640625,0.6954221685348119,0.31452776442116637,0.22314453125,0.14935302734375,0.2719111223824833,0.6693107220960797
test_10_y256_x256,0.4596449136734009,0.6931471824645996,0.441140353679657,0.9999966621398926,0.4825897216796875,0.2033233642578125,0.6736688017845154,0.6931471824645996,0.863477349281311,0.556923076923077,0.1500091552734375,0.6910435557365417,9.0,0.131317138671875,5.0,8.0,0.1753082275390625,1.0,0.06032371520996094,0.9788443578863729,0.7459860131154039,0.7106726495991416,7.0,3.0912061651652345,0.07312568759379844,3.559026084010437,0.0005340576171875,0.0008544921875,0.6995854817516943,0.3363678649766218,0.2266998291015625,0.1604156494140625,0.26370879855381424,0.7076125731930564
test_10_y256_x384,0.4599410593509674,0.6931471824645996,0.4465237855911255,0.9999922513961792,0.454864501953125,0.1900787353515625,0.6755335330963135,0.6931471824645996,0.8728927373886108,0.5720478445853737,0.1502532958984375,0.6911976337432861,21.0,0.105987548828125,11.0,10.0,0.177337646484375,0.0,0.0454864501953125,1.3364084807560177,0.8173206369855212,0.7435489706241958,8.0,4.109609335312651,0.07366988483843136,4.08248290463863,0.0005340576171875,0.0011138916015625,0.7158614650019478,0.3413771958325528,0.2079315185546875,0.1468048095703125,0.2510618599892235,0.7060248036933585
test_10_y256_x512,0.4590170085430145,0.6931471824645996,0.43929532170295715,0.9999892711639404,0.4134521484375,0.1698455810546875,0.6800275444984436,0.6931471824645996,0.8874277472496033,0.6334561135567335,0.1500244140625,0.6895737648010254,14.0,0.0560760498046875,6.0,10.0,0.2014007568359375,2.0,0.04134521484375,1.6713632053227205,0.8554832372807135,0.8422904363479766,8.0,2.8284271247461903,0.06728400635594123,2.160246899469287,0.000762939453125,0.00054931640625,0.7716035973415919,0.39829896493862516,0.160430908203125,0.1180419921875,0.20534901024502808,0.735780863603426
