patch_id,site,feat__global_uncertainty__mean_entropy,feat__global_uncertainty__max_entropy,feat__global_uncertainty__mean_margin_uncertainty,feat__global_uncertainty__max_margin_uncertainty,feat__global_uncertainty__foreground_area_frac,feat__global_uncertainty__mean_cached_uncertainty,feat__global_uncertainty__max_cached_uncertainty,feat__boundary_risk__pred_boundary_area_frac,feat__boundary_risk__boundary_mean_entropy,feat__boundary_risk__boundary_max_entropy,feat__boundary_risk__boundary_mean_margin_uncertainty,feat__boundary_risk__boundary_high_entropy_frac,feat__boundary_risk__boundary_mean_cached_uncertainty,feat__boundary_risk__boundary_max_cached_uncertainty,feat__uncertainty_cluster__high_uncertainty_area_frac,feat__uncertainty_cluster__high_uncertainty_threshold,feat__uncertainty_cluster__high_uncertainty_component_count,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,feat__uncertainty_cluster__high_uncertainty_small_component_count,feat__topology_risk__component_count,feat__topology_risk__largest_component_area_frac,feat__topology_risk__small_component_count,feat__topology_risk__mean_component_area_frac,feat__topology_risk__component_area_cv,feat__topology_risk__euler_number,feat__topology_risk__threshold_component_count_std,feat__topology_risk__threshold_area_frac_std,feat__topology_risk__threshold_euler_std,feat__anatomical_topological_consistency__opening_residual_frac,feat__anatomical_topological_consistency__closing_residual_frac,eval__dice,eval__boundary_dice,eval__error_area_frac,eval__boundary_error_area_frac,eval__lecr_uncertainty,eval__lecr_boundary_error
site19-FeTS2022_01163,site19,0.6537434458732605,0.6931471824645996,0.8163352012634277,1.0,0.007660730286738351,0.44706955552101135,0.7255859375,0.002348902329749104,0.6912291049957275,0.6931471824645996,0.9497774839401245,0.48042534929187924,0.3056153655052185,0.50830078125,0.15115837813620073,0.55078125,7.0,0.14771214157706092,1.0,1.0,0.007660730286738351,0.0,0.007660730286738351,0.0,-2.0,0.4714045207910317,0.15866039656879566,3.858612300930075,3.942652329749104e-05,3.2594086021505376e-05,0.8983205237689309,0.5260444868000995,0.0016003584229390682,0.0012706093189964157,0.001052615202400763,0.7939529675196392
site19-FeTS2022_01164,site19,0.6556253433227539,0.6931471824645996,0.8306034803390503,1.0,0.008624327956989248,0.42405062913894653,0.642578125,0.002212141577060932,0.6903771758079529,0.6931471824645996,0.9378694891929626,0.29468354430379745,0.35392212867736816,0.5107421875,0.1502435035842294,0.5380859375,7.0,0.12595116487455196,2.0,1.0,0.008624327956989248,0.0,0.008624327956989248,0.0,1.0,0.4714045207910317,0.17385345768170085,1.699673171197595,2.5649641577060933e-05,1.881720430107527e-05,0.9782830602766432,0.8376942653130787,0.0003812724014336918,0.0003635752688172043,0.0003140327631523126,0.9535840187733965
site19-FeTS2022_01165,site19,0.6545282602310181,0.6931471824645996,0.82524573802948,1.0,0.007789986559139785,0.42772626876831055,0.68408203125,0.002349462365591398,0.6909661889076233,0.6931471824645996,0.9451426863670349,0.29514683447749807,0.2858884036540985,0.51318359375,0.1508831765232975,0.5478515625,2.0,0.1501665546594982,0.0,3.0,0.005522737455197132,1.0,0.0025966621863799284,0.8728940555657444,3.0,0.0,0.17050821153539497,2.3570226039551585,3.42741935483871e-05,2.0161290322580645e-05,0.9712718246693007,0.8238211141697782,0.00045631720430107527,0.00042282706093189963,0.000321210372134354,0.9266077564819193
site19-FeTS2022_01166,site19,0.6679323315620422,0.6931471824645996,0.8570358157157898,1.0,0.00352206541218638,0.41477957367897034,0.654296875,0.001296034946236559,0.6925830245018005,0.6931471824645996,0.9724663496017456,0.6414311641171895,0.31174683570861816,0.4013671875,0.15143839605734766,0.53466796875,2.0,0.1513380376344086,0.0,3.0,0.0032463037634408603,1.0,0.0011740218040621265,1.2517841944433996,2.0,0.4714045207910317,0.20726356599879908,1.247219128924647,2.0049283154121864e-05,8.512544802867383e-06,0.9638917546227063,0.8227048542016843,0.0002548163082437276,0.00022737455197132617,0.0001859427370926123,0.8923076922684701
