patch_id,feat__global_uncertainty__mean_entropy,feat__global_uncertainty__max_entropy,feat__global_uncertainty__mean_margin_uncertainty,feat__global_uncertainty__max_margin_uncertainty,feat__global_uncertainty__foreground_area_frac,feat__boundary_risk__pred_boundary_area_frac,feat__boundary_risk__boundary_mean_entropy,feat__boundary_risk__boundary_max_entropy,feat__boundary_risk__boundary_mean_margin_uncertainty,feat__boundary_risk__boundary_high_entropy_frac,feat__uncertainty_cluster__high_uncertainty_area_frac,feat__uncertainty_cluster__high_uncertainty_threshold,feat__uncertainty_cluster__high_uncertainty_component_count,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,feat__uncertainty_cluster__high_uncertainty_small_component_count,feat__topology_risk__component_count,feat__topology_risk__largest_component_area_frac,feat__topology_risk__small_component_count,feat__topology_risk__mean_component_area_frac,feat__topology_risk__component_area_cv,feat__topology_risk__mean_eccentricity,feat__topology_risk__mean_solidity,feat__topology_risk__euler_number,feat__topology_risk__threshold_component_count_std,feat__topology_risk__threshold_area_frac_std,feat__topology_risk__threshold_euler_std,feat__anatomical_topological_consistency__opening_residual_frac,feat__anatomical_topological_consistency__closing_residual_frac,eval__dice,eval__boundary_dice,eval__error_area_frac,eval__boundary_error_area_frac,eval__lecr_uncertainty,eval__lecr_boundary_error
TCGA-2Z-A9J9-01A-01-TS1_y0_x128,0.28938132524490356,0.6931471824645996,0.27078378200531006,0.9999877214431763,0.2992706298828125,0.207244873046875,0.6414164900779724,0.6931471824645996,0.7795889377593994,0.6166985716389339,0.1500091552734375,0.6715197563171387,15.0,0.0316009521484375,3.0,26.0,0.0513458251953125,6.0,0.011510408841646634,1.1512428200581437,0.7173166432725177,0.8941034709340827,26.0,4.642796092394707,0.050242785279093254,4.642796092394707,0.0003662109375,0.000335693359375,0.7191361460544385,0.4958540630200597,0.15399169921875,0.1145477294921875,0.27227149031177256,0.7438565200084833
TCGA-2Z-A9J9-01A-01-TS1_y0_x256,0.2978440523147583,0.6931471824645996,0.28087955713272095,0.9999997615814209,0.3438720703125,0.2288055419921875,0.639502763748169,0.6931471824645996,0.7741889357566833,0.5807935978659553,0.1500091552734375,0.6759776473045349,15.0,0.0766448974609375,5.0,24.0,0.0794830322265625,2.0,0.0143280029296875,1.182846953544798,0.7360054188884894,0.9022372280224307,24.0,6.377042156569663,0.05298992772396946,6.377042156569663,0.000213623046875,0.000396728515625,0.720993788820569,0.5039750233367538,0.171356201171875,0.1277008056640625,0.2907864207946929,0.7452359750601493
TCGA-2Z-A9J9-01A-01-TS1_y0_x384,0.32308754324913025,0.6931471824645996,0.3086373805999756,0.9999308586120605,0.389923095703125,0.253021240234375,0.6390731930732727,0.6931471824645996,0.7722934484481812,0.5322639006151249,0.1500091552734375,0.6830821633338928,12.0,0.1085205078125,4.0,24.0,0.043853759765625,1.0,0.016246795654296875,0.8078772461493497,0.7392671268258955,0.8566871995442785,23.0,6.128258770283412,0.05797271273121946,5.90668171555645,0.000244140625,0.0005340576171875,0.7288752546880134,0.5210965435055986,0.1807098388671875,0.1312713623046875,0.2755048902677778,0.7264206704320998
TCGA-2Z-A9J9-01A-01-TS1_y0_x512,0.30527254939079285,0.6931471824645996,0.2904101610183716,0.9999853372573853,0.368438720703125,0.233306884765625,0.6398650407791138,0.6931471824645996,0.7751266360282898,0.5650752125572269,0.1500091552734375,0.6796301603317261,16.0,0.0933685302734375,5.0,26.0,0.0450897216796875,2.0,0.01417072002704327,0.8277039349622622,0.7250302965394748,0.8928922057884626,22.0,6.847546194724712,0.05479870334239754,5.887840577551898,0.0001678466796875,0.0007171630859375,0.7138010718331437,0.49707545645662604,0.177642822265625,0.1265411376953125,0.28262525056610754,0.712334650397592
TCGA-2Z-A9J9-01A-01-TS1_y128_x256,0.29294759035110474,0.6931471824645996,0.27578362822532654,0.999988317489624,0.326019287109375,0.227386474609375,0.6372979879379272,0.6931471824645996,0.7707869410514832,0.5844853039860421,0.1500091552734375,0.6760351657867432,14.0,0.07586669921875,3.0,29.0,0.085296630859375,4.0,0.011242044383081896,1.3696285079372217,0.6388677615244268,0.9120048420920972,29.0,8.339997335464536,0.052705566068331246,8.339997335464536,0.0002288818359375,0.000274658203125,0.7717076789915378,0.5588613288794536,0.1408538818359375,0.1126708984375,0.2521231086623374,0.7999133354912803
TCGA-2Z-A9J9-01A-01-TS1_y128_x384,0.3210510015487671,0.6931471824645996,0.3069179654121399,0.9999308586120605,0.3891143798828125,0.2499542236328125,0.6375994086265564,0.6931471824645996,0.7711641192436218,0.5311031072584091,0.1500091552734375,0.6841328144073486,16.0,0.0897979736328125,5.0,28.0,0.0807037353515625,2.0,0.013896942138671875,1.1120465918935696,0.6838413985594747,0.8939677132738122,27.0,7.788880963698615,0.05920552036818228,7.788880963698615,0.00030517578125,0.0003662109375,0.7354719593821014,0.5367119155368425,0.174896240234375,0.1251678466796875,0.2634860773774214,0.7156691676782789
TCGA-2Z-A9J9-01A-01-TS1_y256_x128,0.3030758500099182,0.6931471824645996,0.2836526036262512,0.9999840259552002,0.3056640625,0.22357177734375,0.6417376399040222,0.6931471824645996,0.7793115377426147,0.5943215943215944,0.1500091552734375,0.6755098104476929,23.0,0.056854248046875,4.0,33.0,0.029144287109375,5.0,0.009262547348484848,0.8253353499942945,0.6833359888253251,0.9059924916934144,33.0,5.715476066494082,0.052517684639090956,5.715476066494082,0.0004730224609375,0.0003814697265625,0.7620051344419349,0.5157040507978823,0.1343841552734375,0.1123199462890625,0.23515239826902265,0.8358124219276051
TCGA-2Z-A9J9-01A-01-TS1_y256_x256,0.29409533739089966,0.6931471824645996,0.27401357889175415,0.9999732971191406,0.3078765869140625,0.218719482421875,0.6386553645133972,0.6931471824645996,0.7726752161979675,0.6053439374912795,0.1500091552734375,0.6719323396682739,22.0,0.0337066650390625,3.0,33.0,0.0251617431640625,4.0,0.009329593542850378,0.6431581217959379,0.7058095086692678,0.9187914629568893,33.0,4.96655480858378,0.05023153960767566,4.96655480858378,0.0001678466796875,0.00018310546875,0.7966512215675109,0.5674261719571576,0.11785888671875,0.0983428955078125,0.21836809785499117,0.8344122216360123
TCGA-2Z-A9J9-01A-01-TS1_y256_x384,0.30674293637275696,0.6931471824645996,0.2890015244483948,0.9999887943267822,0.3520050048828125,0.233245849609375,0.6375937461853027,0.6931471824645996,0.7706859111785889,0.5694753369095905,0.1500091552734375,0.6782931089401245,24.0,0.04931640625,8.0,29.0,0.0413055419921875,2.0,0.012138103616648707,0.6905866186892134,0.7460818136343739,0.9112085604449011,28.0,5.2493385826745405,0.05383010706507402,5.0990195135927845,0.0001983642578125,0.0003509521484375,0.7672439534195102,0.5457312137807306,0.142730712890625,0.1118316650390625,0.2337006689755814,0.7835150737568578
TCGA-2Z-A9J9-01A-01-TS1_y384_x384,0.30905240774154663,0.6931471824645996,0.291493684053421,0.9999964237213135,0.360595703125,0.2383880615234375,0.640849769115448,0.6931471824645996,0.7750698328018188,0.5694168853613263,0.1500091552734375,0.6778730154037476,18.0,0.026123046875,2.0,30.0,0.0409088134765625,1.0,0.012019856770833334,0.7597008651577786,0.7456065838907012,0.9129654607192186,29.0,5.715476066494082,0.05272149342711435,6.018490028422596,0.000274658203125,0.00042724609375,0.7273082846463262,0.49074074074241286,0.1702117919921875,0.1242828369140625,0.2753291971367914,0.7301658449060495
