patch_id,site,feat__global_uncertainty__mean_entropy,feat__global_uncertainty__max_entropy,feat__global_uncertainty__mean_margin_uncertainty,feat__global_uncertainty__max_margin_uncertainty,feat__global_uncertainty__foreground_area_frac,feat__global_uncertainty__mean_cached_uncertainty,feat__global_uncertainty__max_cached_uncertainty,feat__boundary_risk__pred_boundary_area_frac,feat__boundary_risk__boundary_mean_entropy,feat__boundary_risk__boundary_max_entropy,feat__boundary_risk__boundary_mean_margin_uncertainty,feat__boundary_risk__boundary_high_entropy_frac,feat__boundary_risk__boundary_mean_cached_uncertainty,feat__boundary_risk__boundary_max_cached_uncertainty,feat__uncertainty_cluster__high_uncertainty_area_frac,feat__uncertainty_cluster__high_uncertainty_threshold,feat__uncertainty_cluster__high_uncertainty_component_count,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,feat__uncertainty_cluster__high_uncertainty_small_component_count,feat__topology_risk__component_count,feat__topology_risk__largest_component_area_frac,feat__topology_risk__small_component_count,feat__topology_risk__mean_component_area_frac,feat__topology_risk__component_area_cv,feat__topology_risk__euler_number,feat__topology_risk__threshold_component_count_std,feat__topology_risk__threshold_area_frac_std,feat__topology_risk__threshold_euler_std,feat__anatomical_topological_consistency__opening_residual_frac,feat__anatomical_topological_consistency__closing_residual_frac,eval__dice,eval__boundary_dice,eval__error_area_frac,eval__boundary_error_area_frac,eval__lecr_uncertainty,eval__lecr_boundary_error
site20-FeTS2022_00455,site20,0.6485024094581604,0.6931471824645996,0.8081226944923401,1.0,0.012438060035842293,0.4486153721809387,0.65966796875,0.0026934363799283154,0.6924429535865784,0.6931471824645996,0.9688489437103271,0.6169168711273756,0.2583288550376892,0.362548828125,0.15175291218637993,0.55517578125,4.0,0.15162970430107528,2.0,3.0,0.012397177419354838,2.0,0.004146020011947431,1.407246696843989,3.0,2.8284271247461903,0.16656599489209764,1.699673171197595,2.9345878136200715e-05,1.971326164874552e-05,0.9861356525145047,0.878268007387896,0.00034890232974910395,0.00033098118279569893,0.00020308543901213978,0.9486356339984388
site20-FeTS2022_00456,site20,0.6717513203620911,0.6931471824645996,0.8659950494766235,1.0,0.02127475358422939,0.4253006875514984,0.728515625,0.004551747311827957,0.6889585852622986,0.6931471824645996,0.9321377873420715,0.2884246271962203,0.371820330619812,0.5791015625,0.15014986559139784,0.52099609375,16.0,0.1444831989247312,9.0,2.0,0.02127105734767025,1.0,0.010637376792114695,0.9996525236773528,4.0,0.4714045207910317,0.209149497955029,5.2493385826745405,6.530017921146953e-05,7.739695340501793e-05,0.9854032553514457,0.8631502009990704,0.0006247759856630825,0.0006209677419354839,0.0005337722777522489,0.9939046252959143
site20-FeTS2022_00457,site20,0.6244304180145264,0.6931471824645996,0.7617602348327637,1.0,0.009470990143369176,0.4595147967338562,0.6669921875,0.002402329749103943,0.691752552986145,0.6931471824645996,0.9537239074707031,0.4388287952256621,0.2515161335468292,0.41650390625,0.152033938172043,0.5693359375,5.0,0.14960999103942652,2.0,2.0,0.009426299283154123,1.0,0.004735495071684588,0.9905625790863192,2.0,0.9428090415820634,0.14410309062085966,4.109609335312651,4.4802867383512545e-05,2.8337813620071686e-05,0.9744349274328014,0.8045913808513653,0.0004814068100358423,0.00047558243727598566,0.0002704917339822954,0.9879013494418822
site20-FeTS2022_00459,site20,0.588416337966919,0.6931471824645996,0.6904188990592957,1.0,0.009000224014336918,0.48540636897087097,0.72314453125,0.0021836917562724012,0.6914137601852417,0.6931471824645996,0.9531466364860535,0.7820065654493229,0.2922889292240143,0.428955078125,0.15077923387096775,0.58447265625,7.0,0.14330432347670252,2.0,1.0,0.009000224014336918,0.0,0.009000224014336918,0.0,-1.0,0.0,0.09902123692576288,1.632993161855452,2.4417562724014338e-05,2.8337813620071686e-05,0.9810147176612053,0.8463450292401404,0.00033982974910394266,0.0003351254480286738,0.00020265447055799527,0.9861568885634096
site20-FeTS2022_01011,site20,0.6462846398353577,0.6931471824645996,0.8053789138793945,1.0,0.00808075716845878,0.4531552791595459,0.81103515625,0.002888328853046595,0.6921512484550476,0.6931471824645996,0.9624046087265015,0.5741652770775972,0.3185555040836334,0.43701171875,0.15123779121863798,0.55615234375,3.0,0.13816857078853045,0.0,1.0,0.00808075716845878,0.0,0.00808075716845878,0.0,0.0,0.9428090415820634,0.17547853501826355,3.6817870057290873,4.110663082437276e-05,2.979390681003584e-05,0.9742083950752346,0.8655277145029128,0.0004230510752688172,0.0003887768817204301,0.00030964144817161986,0.9189833200709827
site20-FeTS2022_01012,site20,0.6310672163963318,0.6931471824645996,0.7776074409484863,1.0,0.01375638440860215,0.4581752121448517,0.68212890625,0.004236895161290322,0.6913439035415649,0.6931471824645996,0.9520077705383301,0.5327940360060275,0.3564499616622925,0.490234375,0.15104009856630823,0.564453125,4.0,0.15019970878136202,1.0,3.0,0.01363597670250896,1.0,0.00458546146953405,1.395680367245434,1.0,0.9428090415820634,0.156872527512236,2.449489742783178,6.081989247311828e-05,4.435483870967742e-05,0.9614996522627199,0.7938104647286384,0.0010726926523297491,0.0009063620071684588,0.0008905882387835444,0.8449410044811011
site20-FeTS2022_01013,site20,0.5951437950134277,0.6931471824645996,0.7074238061904907,1.0,0.008154569892473118,0.4752001464366913,0.796875,0.002082885304659498,0.6923426985740662,0.6931471824645996,0.970368504524231,0.7590342009034201,0.280107319355011,0.483642578125,0.15096673387096773,0.58203125,6.0,0.1465779569892473,1.0,1.0,0.008154569892473118,0.0,0.008154569892473118,0.0,3.0,0.0,0.12160802005689823,2.160246899469287,2.0945340501792113e-05,2.1841397849462366e-05,0.9864471341623401,0.8944019675990632,0.0002199820788530466,0.00021964605734767025,0.000131800864836048,0.998472505040811
