dataset,model,label,predictor,feature_set,cv_mode,folds_used,positives,negatives,auroc_raw,auroc_directional,auprc
monuseg,point_seed123,low_boundary_dice_le_q25,random_forest::sfrm_features,sfrm_features,group_kfold,5,42,126,0.6717687074829932,0.6717687074829932,0.39806324693024686
monuseg,point_seed123,low_boundary_dice_le_q25,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.8320105820105821,0.8320105820105821,0.6531639649146835
monuseg,point_seed123,low_boundary_dice_le_q25,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.7263794406651549,0.7263794406651549,0.559440995183299
monuseg,point_seed123,low_boundary_dice_le_q25,random_forest::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.6568405139833711,0.6568405139833711,0.3609002798264128
monuseg,point_seed123,high_error_ge_q0.75,predefined::global_mean_entropy,predefined_score,none,0,42,126,0.7161753590325018,0.7161753590325018,0.5620107565713658
monuseg,point_seed123,high_error_ge_q0.75,predefined::global_max_entropy,predefined_score,none,0,42,126,0.4034391534391534,0.5965608465608466,0.20762161727225
monuseg,point_seed123,high_error_ge_q0.75,predefined::global_mean_margin_uncertainty,predefined_score,none,0,42,126,0.718442932728647,0.718442932728647,0.5584710790290905
monuseg,point_seed123,high_error_ge_q0.75,predefined::foreground_area_frac,predefined_score,none,0,42,126,0.659297052154195,0.659297052154195,0.432725480057344
monuseg,point_seed123,high_error_ge_q0.75,predefined::boundary_risk_score,predefined_score,none,0,42,126,0.6117724867724867,0.6117724867724867,0.4820891509600177
monuseg,point_seed123,high_error_ge_q0.75,predefined::boundary_overconfidence_score,predefined_score,none,0,42,126,0.4623015873015873,0.5376984126984127,0.238217630393454
monuseg,point_seed123,high_error_ge_q0.75,predefined::boundary_abnormality_score,predefined_score,none,0,42,126,0.5224867724867726,0.5224867724867726,0.280910740120883
monuseg,point_seed123,high_error_ge_q0.75,predefined::boundary_dual_risk_score,predefined_score,none,0,42,126,0.559901738473167,0.559901738473167,0.27935316695784485
monuseg,point_seed123,high_error_ge_q0.75,predefined::uncertainty_cluster_score,predefined_score,none,0,42,126,0.5849395313681027,0.5849395313681027,0.3810681975496185
monuseg,point_seed123,high_error_ge_q0.75,predefined::topology_risk_score,predefined_score,none,0,42,126,0.7379062736205594,0.7379062736205594,0.5728295018701328
monuseg,point_seed123,high_error_ge_q0.75,predefined::sfrm_composite_score,predefined_score,none,0,42,126,0.6631708238851095,0.6631708238851095,0.5363958312034545
monuseg,point_seed123,high_error_ge_q0.75,predefined::sfrm_balanced_score,predefined_score,none,0,42,126,0.653061224489796,0.653061224489796,0.5393212579641914
monuseg,point_seed123,high_error_ge_q0.75,logistic_l2::global_features,global_features,group_kfold,5,42,126,0.6638321995464853,0.6638321995464853,0.5406521879157404
monuseg,point_seed123,high_error_ge_q0.75,lasso_logistic_l1::global_features,global_features,group_kfold,5,42,126,0.6668556311413454,0.6668556311413454,0.5422360328546678
monuseg,point_seed123,high_error_ge_q0.75,random_forest::global_features,global_features,group_kfold,5,42,126,0.42535903250188967,0.5746409674981103,0.21346634926677263
monuseg,point_seed123,high_error_ge_q0.75,logistic_l2::sfrm_features,sfrm_features,group_kfold,5,42,126,0.6428571428571428,0.6428571428571428,0.4161131731377483
monuseg,point_seed123,high_error_ge_q0.75,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,5,42,126,0.40268329554043836,0.5973167044595616,0.20930088228099666
monuseg,point_seed123,high_error_ge_q0.75,random_forest::sfrm_features,sfrm_features,group_kfold,5,42,126,0.42025699168556313,0.5797430083144368,0.21305570322531914
monuseg,point_seed123,high_error_ge_q0.75,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.6239606953892669,0.6239606953892669,0.38556672250592916
monuseg,point_seed123,high_error_ge_q0.75,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.41780045351473916,0.5821995464852608,0.21415558819770733
monuseg,point_seed123,high_error_ge_q0.75,random_forest::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.3868102796674226,0.6131897203325773,0.19830033477526082
monuseg,point_seed123,high_boundary_error_ge_q0.75,predefined::global_mean_entropy,predefined_score,none,0,42,126,0.7397959183673469,0.7397959183673469,0.417167140685912
monuseg,point_seed123,high_boundary_error_ge_q0.75,predefined::global_max_entropy,predefined_score,none,0,42,126,0.25547996976568405,0.744520030234316,0.17037028253530132
monuseg,point_seed123,high_boundary_error_ge_q0.75,predefined::global_mean_margin_uncertainty,predefined_score,none,0,42,126,0.7435752078609221,0.7435752078609221,0.4223209784500516
monuseg,point_seed123,high_boundary_error_ge_q0.75,predefined::foreground_area_frac,predefined_score,none,0,42,126,0.7762660619803476,0.7762660619803476,0.6730965129871451
monuseg,point_seed123,high_boundary_error_ge_q0.75,predefined::boundary_risk_score,predefined_score,none,0,42,126,0.47628495842781554,0.5237150415721845,0.22726501655081793
monuseg,point_seed123,high_boundary_error_ge_q0.75,predefined::boundary_overconfidence_score,predefined_score,none,0,42,126,0.6461640211640212,0.6461640211640212,0.3247825448413273
monuseg,point_seed123,high_boundary_error_ge_q0.75,predefined::boundary_abnormality_score,predefined_score,none,0,42,126,0.41893424036281174,0.5810657596371882,0.20896477635276178
monuseg,point_seed123,high_boundary_error_ge_q0.75,predefined::boundary_dual_risk_score,predefined_score,none,0,42,126,0.4854497354497354,0.5145502645502646,0.24263973373128742
monuseg,point_seed123,high_boundary_error_ge_q0.75,predefined::uncertainty_cluster_score,predefined_score,none,0,42,126,0.6418178382464097,0.6418178382464097,0.5152081406111735
monuseg,point_seed123,high_boundary_error_ge_q0.75,predefined::topology_risk_score,predefined_score,none,0,42,126,0.7854308390022675,0.7854308390022675,0.5116519050216535
monuseg,point_seed123,high_boundary_error_ge_q0.75,predefined::sfrm_composite_score,predefined_score,none,0,42,126,0.6877362055933485,0.6877362055933485,0.4305412562127439
