dataset,model,label,predictor,feature_set,cv_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
monuseg,point_seed123,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,168,0.1,17,25,6,0.24,0.35294117647058826,2.4,0.12582781456953643,0.15443708609271523
monuseg,point_seed123,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,168,0.2,34,25,13,0.52,0.38235294117647056,2.6,0.08955223880597014,0.39820895522388067
monuseg,point_seed123,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,168,0.3,51,25,13,0.52,0.2549019607843137,1.7333333333333334,0.10256410256410256,0.3107692307692308
monuseg,point_seed123,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,168,0.05,9,25,6,0.24,0.6666666666666666,4.8,0.11949685534591195,0.19698113207547163
monuseg,point_seed123,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,168,0.1,17,25,7,0.28,0.4117647058823529,2.8000000000000003,0.11920529801324503,0.19894039735099334
monuseg,point_seed123,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,168,0.2,34,25,11,0.44,0.3235294117647059,2.1999999999999997,0.1044776119402985,0.297910447761194
monuseg,point_seed123,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,168,0.3,51,25,11,0.44,0.21568627450980393,1.4666666666666668,0.11965811965811966,0.1958974358974358
monuseg,point_seed123,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,168,0.05,9,25,8,0.32,0.8888888888888888,6.3999999999999995,0.1069182389937107,0.28150943396226413
monuseg,point_seed123,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,168,0.1,17,25,10,0.4,0.5882352941176471,4.0,0.09933774834437085,0.3324503311258279
monuseg,point_seed123,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,168,0.2,34,25,13,0.52,0.38235294117647056,2.6,0.08955223880597014,0.39820895522388067
