dataset,model,label,predictor,feature_set,cv_mode,folds_used,positives,negatives,auroc_raw,auroc_directional,auprc,run
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::boundary_overconfidence_score,predefined_score,none,0,42,126,0.4561602418745276,0.5438397581254724,0.2363280045386381,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::boundary_abnormality_score,predefined_score,none,0,42,126,0.5421390778533636,0.5421390778533636,0.2833895785863133,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::boundary_dual_risk_score,predefined_score,none,0,42,126,0.5151171579743008,0.5151171579743008,0.2528408568740663,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::uncertainty_cluster_score,predefined_score,none,0,42,126,0.9613567649281936,0.9613567649281936,0.915841916673846,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::topology_risk_score,predefined_score,none,0,42,126,0.9726001511715796,0.9726001511715796,0.9156552822693872,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::sfrm_composite_score,predefined_score,none,0,42,126,0.967687074829932,0.967687074829932,0.9169425960105329,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::sfrm_balanced_score,predefined_score,none,0,42,126,0.9457671957671956,0.9457671957671956,0.846155605106866,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,logistic_l2::global_features,global_features,group_kfold,5,42,126,0.95578231292517,0.95578231292517,0.9527596893670346,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,lasso_logistic_l1::global_features,global_features,group_kfold,5,42,126,0.9589947089947092,0.9589947089947092,0.95428683406301,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,random_forest::global_features,global_features,group_kfold,5,42,126,0.956727135298564,0.956727135298564,0.9407728780844196,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,sfrm_features,group_kfold,5,42,126,0.9871504157218444,0.9871504157218444,0.9728318606987884,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,5,42,126,0.9805366591080876,0.9805366591080876,0.9625153666843976,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,random_forest::sfrm_features,sfrm_features,group_kfold,5,42,126,0.9837490551776266,0.9837490551776266,0.95193498677567,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.9882842025699168,0.9882842025699168,0.9741291381689312,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.9824263038548752,0.9824263038548752,0.9627081725074312,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,random_forest::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.98015873015873,0.98015873015873,0.9443977959073312,stage3_predictor_monuseg_point_seed42
