dataset,model,area_bin,n,area_min,area_max,area_mean
monuseg,point_seed123,0,34,0.1360015869140625,0.2122344970703125,0.18137539134306066
monuseg,point_seed123,1,33,0.213104248046875,0.2439422607421875,0.23079750754616477
monuseg,point_seed123,2,34,0.246490478515625,0.2804718017578125,0.26121700511259194
monuseg,point_seed123,3,33,0.2817535400390625,0.3389739990234375,0.30721907182173297
monuseg,point_seed123,4,34,0.34027099609375,0.5179443359375,0.4027548397288603
