dataset,model,patch_id,category,label,sfrm_score_name,global_score_name,sfrm_score,global_score,score_gap,priority,eval__dice,eval__boundary_dice,eval__boundary_error_area_frac,eval__lecr_boundary_error,eval__lecr_uncertainty
MoNuSeg,prototype_seed42,TCGA-CU-A0YN-01A-02-BSB_y640_x640,sfrm_hit_global_miss,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.8356620093147039,0.7005988023952097,0.13506320691949425,0.31726840711480675,0.7637687153614628,0.4650233498640773,0.1822052001953125,0.8362630436246496,0.26761766841967816
MoNuSeg,prototype_seed42,TCGA-CU-A0YN-01A-02-BSB_y256_x640,sfrm_hit_global_miss,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.7458416500332669,0.6467065868263473,0.09913506320691956,0.23542656711316956,0.7434763181417706,0.5140022309648505,0.13629150390625,0.7779132555236202,0.23266064573361864
MoNuSeg,prototype_seed42,TCGA-44-2665-01B-06-BS6_y640_x128,sfrm_hit_global_miss,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.8041694388999779,0.7425149700598803,0.06165446884009762,0.22170390731666012,0.7590059279530342,0.44376661536464596,0.1600494384765625,0.8269473352189612,0.251950241490205
MoNuSeg,prototype_seed42,TCGA-CU-A0YN-01A-02-BSB_y256_x384,sfrm_hit_global_miss,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.8267908627190065,0.7544910179640719,0.07229984475493456,0.21243656350493456,0.7296512868672806,0.5065793287359962,0.14013671875,0.7249763182765632,0.24759687900515934
MoNuSeg,prototype_seed42,TCGA-CU-A0YN-01A-02-BSB_y640_x512,sfrm_hit_global_miss,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.7538256819693947,0.7485029940119761,0.005322687957418637,0.15812420162929364,0.7710161888048157,0.5101110645444518,0.152801513671875,0.8529812606400938,0.22630422735458475
MoNuSeg,prototype_seed42,TCGA-44-2665-01B-06-BS6_y640_x256,sfrm_hit_global_miss,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.8491905078731427,0.8922155688622755,-0.043025060989132835,0.13454146733117966,0.7672066527207911,0.46213659551418423,0.1775665283203125,0.8642406238331657,0.2543377284656191
MoNuSeg,prototype_seed42,TCGA-CU-A0YN-01A-02-BSB_y384_x128,sfrm_hit_global_miss,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.7904191616766467,0.8443113772455091,-0.05389221556886237,0.08435241333738763,0.731049279861836,0.48425751879850726,0.13824462890625,0.7689043537234244,0.23009508656424385
MoNuSeg,prototype_seed42,TCGA-44-2665-01B-06-BS6_y640_x512,sfrm_hit_global_miss,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.7471723220226215,0.8562874251497007,-0.10911510312707917,0.04864551699010833,0.7702980664950628,0.4944169387983398,0.1577606201171875,0.8416639531028844,0.22581944466918907
MoNuSeg,prototype_seed42,TCGA-AC-A2FO-01A-01-TS1_y640_x384,both_miss,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.6580172987358617,0.6646706586826348,-0.006653359946773074,0.13038582462353943,0.7599982630601416,0.545199013551629,0.1370391845703125,0.8124660756213816,0.23802881981884821
MoNuSeg,prototype_seed42,TCGA-CU-A0YN-01A-02-BSB_y384_x256,both_miss,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.7303171434907961,0.8023952095808383,-0.07207806609004219,0.08148638703495781,0.7300468527200448,0.4706047032489625,0.153564453125,0.7594325384790263,0.2577711725411186
MoNuSeg,prototype_seed42,TCGA-44-2665-01B-06-BS6_y512_x256,both_hit,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.8236859614105123,0.9580838323353293,-0.13439787092481703,0.03564607438768297,0.7412453595626675,0.4473222358149037,0.1700439453125,0.8241384410529201,0.2492364746641707
MoNuSeg,prototype_seed42,TCGA-44-2665-01B-06-BS6_y640_x384,both_hit,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.7644710578842315,0.9341317365269461,-0.1696606786427146,-0.000608554619277113,0.7748042963776173,0.4904776001591413,0.1690521240234375,0.8956345998310781,0.22488823179249257
MoNuSeg,prototype_seed42,TCGA-44-2665-01B-06-BS6_y0_x0,both_hit,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.7511643379906853,0.9101796407185629,-0.15901530272787767,-0.006518964837252672,0.7601533398434773,0.48044876180194157,0.152496337890625,0.7534680337699527,0.2527982875147507
MoNuSeg,prototype_seed42,TCGA-44-2665-01B-06-BS6_y512_x0,both_hit,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.8185850521179862,0.9940119760479043,-0.1754269239299181,-0.0136532422892931,0.7619297522214605,0.4811027123179424,0.161773681640625,0.8346717052366975,0.2337159191700788
MoNuSeg,prototype_seed42,TCGA-44-2665-01B-06-BS6_y512_x128,both_hit,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.801729873586161,0.9820359281437127,-0.18030605455755166,-0.015923119987239165,0.7585267034995239,0.4834050399521527,0.1643829345703125,0.821613788889402,0.24865556435802952
MoNuSeg,prototype_seed42,TCGA-IZ-8196-01A-01-BS1_y384_x640,global_hit_sfrm_miss,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.7125748502994013,0.9161676646706587,-0.20359281437125742,-0.06605008976188242,0.7513859856408448,0.5003562522280598,0.137542724609375,0.823798208729448,0.22678761851824375
MoNuSeg,prototype_seed42,TCGA-44-2665-01B-06-BS6_y384_x128,both_hit,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.7875360390330451,1.0,-0.21246396096695486,-0.06919919045914236,0.7805233416689037,0.516207128447838,0.1432647705078125,0.8422894052135794,0.21007707261029246
MoNuSeg,prototype_seed42,TCGA-44-2665-01B-06-BS6_y384_x0,global_hit_sfrm_miss,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.7451763140385895,0.970059880239521,-0.22488356620093153,-0.07356215506811903,0.7352692075020463,0.46310331073148586,0.1513214111328125,0.75540828762374,0.24348001023784924
MoNuSeg,prototype_seed42,TCGA-AC-A2FO-01A-01-TS1_y640_x0,both_miss,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.5715236194278109,0.8263473053892216,-0.2548236859614107,-0.1145038617426607,0.7757394554195927,0.5535274815433924,0.14031982421875,0.8757261213134394,0.22670251110593834
MoNuSeg,prototype_seed42,TCGA-44-2665-01B-06-BS6_y0_x128,global_hit_sfrm_miss,gray_high_dice_high_boundary_error,sfrm_balanced_score,global_mean_entropy,0.6404967842093591,0.9520958083832336,-0.31159902417387453,-0.15631032788481203,0.7536409392766853,0.48433480462648776,0.1552886962890625,0.7905694088340668,0.25081313308967185
