epoch,train_loss,baseline_dice,coarse_dice,refined_dice,delta_dice,baseline_boundary_dice,coarse_boundary_dice,refined_boundary_dice,delta_boundary_dice,baseline_aji,coarse_aji,refined_aji,delta_aji,baseline_pq,coarse_pq,refined_pq,delta_pq,delta_high_risk_error,delta_low_risk_error,delta_confounder_fpr
1,1.5663551310057282,0.8331114252642203,0.8331114252642203,0.8383841099255006,0.005272684661280282,0.6174643680963448,0.6174643680963448,0.6277308130138035,0.010266444917458706,0.40909303674309594,0.40909303674309594,0.40920062187579553,0.00010758513269954843,0.3405035484457114,0.3405035484457114,0.35176480103860874,0.011261252592897378,0.0,-0.002551608615451389,0.017940761246464838
2,1.4735276955430225,0.8331114252642203,0.8331114252642203,0.8416980043780744,0.008586579113853961,0.6174643680963448,0.6174643680963448,0.6364137069621107,0.018949338865766115,0.40909303674309594,0.40909303674309594,0.43390192081137013,0.024808884068274164,0.3405035484457114,0.3405035484457114,0.369865249359893,0.029361700914181617,0.0,-0.0068552229139539934,0.004377560317727236
3,1.4990885731994466,0.8331114252642203,0.7890923972499971,0.7944420271997139,-0.03866939806450645,0.6174643680963448,0.5769563298354534,0.5907416709808834,-0.026722697115461307,0.40909303674309594,0.37043574269995017,0.3874072519780646,-0.02168578476503139,0.3405035484457114,0.3009203170793253,0.3168146803240679,-0.023688868121643485,0.0,0.03460650973849826,0.03281268028016511
4,1.44429047389697,0.8331114252642203,0.835039368140182,0.8419589629962879,0.008847537732067534,0.6174643680963448,0.6089244384165595,0.6322869596917021,0.014822591595357235,0.40909303674309594,0.3994669251494736,0.43800762938828536,0.02891459264518934,0.3405035484457114,0.3325188187506758,0.363593834745358,0.023090286299646594,0.0,-0.007113138834635417,6.986213030609694e-05
5,1.3879607185240714,0.8331114252642203,0.7892861066082291,0.7859331889553851,-0.04717823630883527,0.6174643680963448,0.5601119376856771,0.561732865529693,-0.05573150256665173,0.40909303674309594,0.3332655672075566,0.3286096307206071,-0.08048340602248888,0.3405035484457114,0.27420638346347326,0.2770090958326196,-0.06349445261309178,0.0,0.044310039944118924,0.07616981017580289
6,1.358657569013616,0.8331114252642203,0.8346205292454543,0.8342833201148036,0.0011718948505831492,0.6174643680963448,0.6276300953101744,0.6294783294371401,0.012013961340795354,0.40909303674309594,0.45209967904198756,0.4505423671904007,0.041449330447304734,0.3405035484457114,0.38402947172029744,0.3826887932138144,0.04218524476810299,0.1135735079011438,-0.0013566435818874257,0.020303481415738893
7,1.3636509513342252,0.8331114252642203,0.8093884051196997,0.8222452597229231,-0.010866165541297369,0.6174643680963448,0.571924245686873,0.6030389005119018,-0.014425467584442951,0.40909303674309594,0.33215425703535195,0.371257436890509,-0.037835599852587,0.3405035484457114,0.2751923766500069,0.3114982677118064,-0.029005280733905077,0.005723205313656251,0.012990054834947131,0.04226222618775463
8,1.3077696279812885,0.8331114252642203,0.8447694282898265,0.8474839832760324,0.014372558011812087,0.6174643680963448,0.6410024649770704,0.6535806824986499,0.036116314402305054,0.40909303674309594,0.43694246472888043,0.47699268907520853,0.06789965233211259,0.3405035484457114,0.37033684515231574,0.40868516304087976,0.06818161459516836,-0.03408589243039303,-0.011683002659931184,-0.020573166064149107
