dataset,model,patch_id,source_id,label,category,sfrm_predictor,global_predictor,sfrm_score,global_score,score_gap,priority,eval__dice,eval__boundary_dice,eval__boundary_error_area_frac,eval__lecr_boundary_error
monuseg,prototype_seed42,TCGA-69-7764-01A-01-TS1_y128_x128,TCGA-69-7764-01A-01-TS1,low_boundary_dice_le_q25,sfrm_hit_global_miss,logistic_l2::sfrm_features,predefined::global_max_entropy,0.9610064502453378,0.16167664670658682,0.799329803538751,1.730776407962574,0.5085854456271183,0.2465583015456686,0.1403656005859375,0.6122462562355258
monuseg,prototype_seed42,TCGA-A6-6782-01A-01-BS1_y384_x128,TCGA-A6-6782-01A-01-BS1,low_boundary_dice_le_q25,sfrm_hit_global_miss,logistic_l2::sfrm_features,predefined::global_max_entropy,0.9424022930135657,0.22155688622754494,0.7208454067860208,1.5224563805596125,0.6176190887887195,0.4145557073024602,0.1057281494140625,0.7832918833282467
monuseg,prototype_seed42,TCGA-GL-6846-01A-01-BS1_y128_x128,TCGA-GL-6846-01A-01-BS1,low_boundary_dice_le_q25,sfrm_hit_global_miss,logistic_l2::sfrm_features,predefined::global_max_entropy,0.996308950065455,0.658682634730539,0.33762631533491594,1.2062838217037997,0.514161836092586,0.31129913626352135,0.0908660888671875,0.5776505965605039
monuseg,prototype_seed42,TCGA-HC-7209-01A-01-TS1_y384_x640,TCGA-HC-7209-01A-01-TS1,low_boundary_dice_le_q25,sfrm_hit_global_miss,logistic_l2::sfrm_features,predefined::global_max_entropy,0.9710416169455927,0.7604790419161677,0.210562575029425,1.0606254620340474,0.578287382978707,0.35233769703792495,0.0931854248046875,0.6218940936800214
