label,feature,auc_raw,auc_directional,positives,negatives,mannwhitney_u,mannwhitney_p
low_boundary_dice_lt_median,feat__anatomical_topological_consistency__opening_residual_frac,0.41666666666666663,0.5833333333333334,2,3,2.5,1.0
low_boundary_dice_lt_median,feat__anatomical_topological_consistency__closing_residual_frac,0.8333333333333334,0.8333333333333334,2,3,5.0,0.4
high_error_ge_q0.75,feat__global_uncertainty__mean_entropy,0.6666666666666667,0.6666666666666667,2,3,4.0,0.8
high_error_ge_q0.75,feat__global_uncertainty__max_entropy,0.5,0.5,2,3,3.0,1.0
high_error_ge_q0.75,feat__global_uncertainty__mean_margin_uncertainty,0.6666666666666667,0.6666666666666667,2,3,4.0,0.8
high_error_ge_q0.75,feat__global_uncertainty__max_margin_uncertainty,0.5,0.5,2,3,3.0,1.0
high_error_ge_q0.75,feat__global_uncertainty__foreground_area_frac,0.5,0.5,2,3,3.0,1.0
high_error_ge_q0.75,feat__boundary_risk__pred_boundary_area_frac,0.5,0.5,2,3,3.0,1.0
high_error_ge_q0.75,feat__boundary_risk__boundary_mean_entropy,0.8333333333333334,0.8333333333333334,2,3,5.0,0.4
high_error_ge_q0.75,feat__boundary_risk__boundary_max_entropy,0.5,0.5,2,3,3.0,1.0
high_error_ge_q0.75,feat__boundary_risk__boundary_mean_margin_uncertainty,0.8333333333333334,0.8333333333333334,2,3,5.0,0.4
high_error_ge_q0.75,feat__boundary_risk__boundary_high_entropy_frac,0.5,0.5,2,3,3.0,1.0
high_error_ge_q0.75,feat__uncertainty_cluster__high_uncertainty_area_frac,0.33333333333333337,0.6666666666666666,2,3,2.0,0.6830913983096087
high_error_ge_q0.75,feat__uncertainty_cluster__high_uncertainty_threshold,0.5,0.5,2,3,3.0,1.0
high_error_ge_q0.75,feat__uncertainty_cluster__high_uncertainty_component_count,0.33333333333333337,0.6666666666666666,2,3,2.0,0.8
high_error_ge_q0.75,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,0.5,0.5,2,3,3.0,1.0
high_error_ge_q0.75,feat__uncertainty_cluster__high_uncertainty_small_component_count,0.25,0.75,2,3,1.5,0.5536169919657805
high_error_ge_q0.75,feat__topology_risk__component_count,0.25,0.75,2,3,1.5,0.5536169919657805
high_error_ge_q0.75,feat__topology_risk__largest_component_area_frac,0.5,0.5,2,3,3.0,1.0
high_error_ge_q0.75,feat__topology_risk__small_component_count,0.5833333333333334,0.5833333333333334,2,3,3.5,1.0
high_error_ge_q0.75,feat__topology_risk__mean_component_area_frac,1.0,1.0,2,3,6.0,0.2
high_error_ge_q0.75,feat__topology_risk__component_area_cv,0.0,1.0,2,3,0.0,0.2
high_error_ge_q0.75,feat__topology_risk__mean_eccentricity,1.0,1.0,2,3,6.0,0.2
high_error_ge_q0.75,feat__topology_risk__mean_solidity,0.0,1.0,2,3,0.0,0.2
high_error_ge_q0.75,feat__topology_risk__euler_number,0.0,1.0,2,3,0.0,0.1386406338132186
high_error_ge_q0.75,feat__topology_risk__threshold_component_count_std,0.5,0.5,2,3,3.0,1.0
high_error_ge_q0.75,feat__topology_risk__threshold_area_frac_std,0.6666666666666667,0.6666666666666667,2,3,4.0,0.8
high_error_ge_q0.75,feat__topology_risk__threshold_euler_std,0.5,0.5,2,3,3.0,1.0
high_error_ge_q0.75,feat__anatomical_topological_consistency__opening_residual_frac,0.8333333333333334,0.8333333333333334,2,3,5.0,0.3742593192802244
high_error_ge_q0.75,feat__anatomical_topological_consistency__closing_residual_frac,0.5,0.5,2,3,3.0,1.0
