dataset,model,label,score,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
monuseg,prototype_seed42,bad_dice_lt_0.65,uncertainty_cluster_score,168,0.3,51,31,6,0.1935483870967742,0.11764705882352941,0.6451612903225806,0.21367521367521367,-0.1579818031430933
monuseg,prototype_seed42,bad_dice_lt_0.65,topology_risk_score,168,0.05,9,31,0,0.0,0.0,0.0,0.1949685534591195,-0.05660377358490565
monuseg,prototype_seed42,bad_dice_lt_0.65,topology_risk_score,168,0.1,17,31,0,0.0,0.0,0.0,0.2052980132450331,-0.11258278145695355
monuseg,prototype_seed42,bad_dice_lt_0.65,topology_risk_score,168,0.2,34,31,1,0.03225806451612903,0.029411764705882353,0.16129032258064516,0.22388059701492538,-0.21328839672604705
monuseg,prototype_seed42,bad_dice_lt_0.65,topology_risk_score,168,0.3,51,31,6,0.1935483870967742,0.11764705882352941,0.6451612903225806,0.21367521367521367,-0.1579818031430933
monuseg,prototype_seed42,bad_dice_lt_0.65,sfrm_composite_score,168,0.05,9,31,1,0.03225806451612903,0.1111111111111111,0.6451612903225806,0.18867924528301888,-0.02251978088861839
monuseg,prototype_seed42,bad_dice_lt_0.65,sfrm_composite_score,168,0.1,17,31,3,0.0967741935483871,0.17647058823529413,0.9677419354838709,0.18543046357615894,-0.004913480025635408
monuseg,prototype_seed42,bad_dice_lt_0.65,sfrm_composite_score,168,0.2,34,31,9,0.2903225806451613,0.2647058823529412,1.4516129032258065,0.16417910447761194,0.11025517573423216
monuseg,prototype_seed42,bad_dice_lt_0.65,sfrm_composite_score,168,0.3,51,31,13,0.41935483870967744,0.2549019607843137,1.3978494623655915,0.15384615384615385,0.16625310173697272
monuseg,prototype_seed42,bad_dice_lt_0.65,sfrm_balanced_score,168,0.05,9,31,0,0.0,0.0,0.0,0.1949685534591195,-0.05660377358490565
monuseg,prototype_seed42,bad_dice_lt_0.65,sfrm_balanced_score,168,0.1,17,31,2,0.06451612903225806,0.11764705882352941,0.6451612903225806,0.19205298013245034,-0.0408032471694082
monuseg,prototype_seed42,bad_dice_lt_0.65,sfrm_balanced_score,168,0.2,34,31,7,0.22580645161290322,0.20588235294117646,1.129032258064516,0.1791044776119403,0.029369282619162385
monuseg,prototype_seed42,bad_dice_lt_0.65,sfrm_balanced_score,168,0.3,51,31,11,0.3548387096774194,0.21568627450980393,1.1827956989247312,0.17094017094017094,0.07361455748552526
monuseg,prototype_seed42,low_boundary_dice_le_q25,global_mean_entropy,168,0.05,9,42,1,0.023809523809523808,0.1111111111111111,0.47619047619047616,0.2578616352201258,-0.03144654088050314
