dataset,variant,patch_id,baseline_dice,dice,boundary_dice,aji,pq,confounder_fpr
consep,full,train_12_y0_x0,0.4552332913332135,0.1623616236603921,0.10870041641225729,0.08835341365461848,0.02774841437632135,0.03125
consep,full,train_12_y0_x128,0.2087542088074913,7.097232078985292e-11,2.6695141483537237e-11,0.0,0.0,0.0
consep,full,train_12_y0_x256,0.06088560894272272,0.09010989020987803,0.06554621852665772,0.047180667433831994,0.06231003039513678,0.03515625
consep,full,train_12_y0_x384,0.3276318959448897,0.34252336450134296,0.22192549073011184,0.20665351000845786,0.09747321197483853,0.4435763888888889
consep,full,train_12_y0_x512,0.35371114086934835,0.39547150393161623,0.2868965517296023,0.2464720974983964,0.1878309412490609,0.26936141304347827
consep,full,train_12_y0_x640,0.559550229330381,0.6385126816099665,0.5007207207252187,0.41350504698920987,0.3153357488940652,0.2638888888888889
consep,full,train_12_y128_x0,0.4026924202691633,0.19876597621862568,0.14189969957081233,0.11034988989478835,0.042094615624027394,0.19254032258064516
consep,full,train_12_y128_x128,0.07467057103282894,2.6910656619297343e-11,1.2328936012670091e-11,0.0,0.0,0.0
consep,full,train_12_y128_x256,0.04293236129925208,0.06175771973972664,0.04449103192354424,0.031862745098039214,0.04263088760528431,0.015625
consep,full,train_12_y128_x384,0.38379254458048956,0.39398126824206997,0.26033860672346804,0.23469194312796207,0.11577762531057624,0.3329326923076923
consep,full,train_12_y128_x512,0.6986167388612741,0.6742075823533349,0.5241192411967107,0.40205646566747993,0.26305262851641104,0.3807357594936709
consep,full,train_12_y128_x640,0.7706827901523273,0.7756383995660844,0.6421787389902485,0.4472332015810277,0.28171952506644526,0.34877232142857145
consep,full,train_12_y256_x0,0.5093904448267088,0.380359612739042,0.2876364180103508,0.23484201537147736,0.1393763322979475,0.23541666666666666
consep,full,train_12_y256_x128,0.21145185504586206,0.22797121184151,0.13259668509208886,0.12864983534577387,0.0478447813409495,0.33541666666666664
consep,full,train_12_y256_x256,0.24407287248260454,0.26742138365701357,0.12500000000625,0.13038532631878288,0.05177503509352021,0.3600260416666667
consep,full,train_12_y256_x384,0.46057222610662146,0.4630090349684037,0.31251637698215984,0.2454337899543379,0.1363016851104172,0.352359693877551
consep,full,train_12_y256_x512,0.8505784061720666,0.8565850728359126,0.7670659379024646,0.508608971454463,0.399417278190892,0.34269662921348315
consep,full,train_12_y256_x640,0.7966999138062222,0.829359953026079,0.7584870848730767,0.4104687758820606,0.27470890350230165,0.3834821428571429
consep,full,train_12_y384_x0,0.8262319377611622,0.7890076335942288,0.6637122002173171,0.5339578454332553,0.413324475019678,0.2541920731707317
consep,full,train_12_y384_x128,0.5824279641100041,0.5085287846569202,0.3886044374505894,0.2940905955392044,0.18432790858623085,0.33515625
consep,full,train_12_y384_x256,0.4102829537713892,0.37221041446104924,0.2486128512685823,0.19968127490039841,0.11292694616305783,0.2893880208333333
consep,full,train_12_y384_x384,0.5916817359929172,0.5608647971242227,0.4154882154947756,0.2824994976893711,0.15464977329942456,0.35619212962962965
consep,full,train_12_y384_x512,0.7901826905371806,0.8008220585750844,0.7032564946980941,0.5068387096774194,0.47089312917964093,0.36817781690140844
consep,full,train_12_y384_x640,0.7321554770341683,0.7590168088541345,0.6933423913064312,0.46088351431391905,0.3941170075076164,0.397875
consep,full,train_12_y512_x0,0.8219178082273098,0.8212025316526423,0.6758023801054526,0.5433455433455433,0.4366930596363595,0.35
consep,full,train_12_y512_x128,0.6973442019537905,0.7070138400256389,0.5887096774265654,0.46797520661157027,0.36978086299005897,0.3219401041666667
consep,full,train_12_y512_x256,0.571894536570484,0.5936842105358202,0.48319394035847885,0.40347997373604727,0.25847547332075593,0.24068509615384615
consep,full,train_12_y512_x384,0.648111332019612,0.6446185088585837,0.4820832406080106,0.35123480987847905,0.18807389678540867,0.17075892857142858
consep,full,train_12_y512_x512,0.8139245752201419,0.824345549740519,0.7034421888823539,0.6377277599142551,0.5238155645520277,0.44216417910447764
consep,full,train_12_y512_x640,0.7527882673245562,0.7859649122824899,0.6940475335700865,0.6314569987733406,0.5484570466676887,0.3861607142857143
consep,full,train_12_y640_x0,0.6155242850832718,0.6397306397458027,0.5019443613669775,0.3813953488372093,0.09287925696594428,0.2922794117647059
consep,full,train_12_y640_x128,0.6541353383603119,0.6772323154357468,0.562942779303462,0.5119812974868498,0.29931425809414836,0.30422794117647056
consep,full,train_12_y640_x256,0.8189738625450643,0.856224161697004,0.7721139430370272,0.6941634241245136,0.5243035221516429,0.22253787878787878
consep,full,train_12_y640_x384,0.6490233144407995,0.7015550239323698,0.6443259710676739,0.5110709444193403,0.5274038810640492,0.10833333333333334
consep,full,train_12_y640_x512,0.7552194640842476,0.7914421553123385,0.72666294019387,0.6548649357461317,0.6659514526923211,0.328125
