epoch,train_loss,baseline_dice,repaired_dice,delta_dice,baseline_boundary_dice,repaired_boundary_dice,delta_boundary_dice,baseline_aji,repaired_aji,delta_aji,baseline_pq,repaired_pq,delta_pq,delta_high_risk_dice,delta_low_risk_dice,delta_high_risk_error,delta_low_risk_error,delta_confounder_fpr
1,1.655965,0.753247,0.791496,0.038249,0.404267,0.514714,0.110446,0.243237,0.327049,0.083812,0.153385,0.242706,0.089322,0.038249,0.000000,-0.027753,0.000000,-0.021860
2,1.568999,0.753247,0.796616,0.043368,0.404267,0.506960,0.102693,0.243237,0.309557,0.066320,0.153385,0.221785,0.068401,0.043368,0.000000,-0.025567,0.000000,0.016362
3,1.531457,0.753247,0.804970,0.051723,0.404267,0.546732,0.142464,0.243237,0.355904,0.112667,0.153385,0.278633,0.125248,0.051723,0.000000,-0.036099,0.000000,-0.023034
4,1.520752,0.753247,0.801040,0.047793,0.404267,0.561767,0.157499,0.243237,0.361992,0.118755,0.153385,0.267318,0.113934,0.047793,0.000000,-0.037888,0.000000,-0.052370
5,1.515355,0.753247,0.798986,0.045739,0.404267,0.516989,0.112722,0.243237,0.315636,0.072399,0.153385,0.236900,0.083516,0.045739,0.000000,-0.028266,0.000000,0.006501
6,1.510162,0.753247,0.804428,0.051181,0.404267,0.562265,0.157998,0.243237,0.363449,0.120212,0.153385,0.288168,0.134783,0.051181,0.000000,-0.039241,0.000000,-0.047091
