epoch,train_loss,baseline_dice,coarse_dice,refined_dice,delta_dice,baseline_boundary_dice,coarse_boundary_dice,refined_boundary_dice,delta_boundary_dice,baseline_aji,coarse_aji,refined_aji,delta_aji,baseline_pq,coarse_pq,refined_pq,delta_pq,delta_high_risk_error,delta_low_risk_error,delta_confounder_fpr
1,1.3930949780248827,0.7532470629905679,0.7532470629905679,0.80858463420236,0.0553375712117922,0.4042672471188423,0.4042672471188423,0.5608665238917404,0.15659927677289812,0.24323681706475161,0.24323681706475161,0.3712663572828887,0.12802954021813706,0.15338457843795558,0.15338457843795558,0.2805689428302137,0.12718436439225822,-0.132905270424389,-0.013947717792576466,0.014032424655782768
2,1.317221454394761,0.7532470629905679,0.7532470629905679,0.816045911895087,0.06279884890451931,0.4042672471188423,0.4042672471188423,0.5699321573865234,0.16566491026768101,0.24323681706475161,0.24323681706475161,0.37527746570299514,0.13204064863824355,0.15338457843795558,0.15338457843795558,0.29125197459976604,0.13786739616181046,-0.1298903075220189,-0.016962142845159036,0.037446627528220436
3,1.1928718820694955,0.7532470629905679,0.8055534554471072,0.8134875811019788,0.060240518111411095,0.4042672471188423,0.5593322125864644,0.5895665906754735,0.18529934355663114,0.24323681706475161,0.36401620274170565,0.4145726325636987,0.17133581549894705,0.15338457843795558,0.27738171440421877,0.3176076349388874,0.16422305650093186,-0.08545853120632346,-0.0201933762661595,0.03717275551534202
4,1.1043091691950315,0.7532470629905679,0.8042189406634033,0.8063353692915017,0.05308830630093399,0.4042672471188423,0.5858162934420442,0.5926047398370461,0.18833749271820388,0.24323681706475161,0.39617587744058225,0.43051459602302367,0.1872777789582721,0.15338457843795558,0.316632025637835,0.3374052540187478,0.1840206755807923,-0.04878049074671704,-0.023391008058066334,0.03044835587976845
5,1.0483834705045145,0.7532470629905679,0.8253269677823007,0.8259640085227417,0.07271694553217381,0.4042672471188423,0.6027418618286445,0.6094829322158185,0.20521568509697619,0.24323681706475161,0.43323379142493373,0.4502714744552628,0.2070346573905112,0.15338457843795558,0.3609493739397793,0.3667532644069412,0.21336868596898573,-0.10446166836933059,-0.03569055142544496,-0.009415490632223838
6,1.0166114267482553,0.7532470629905679,0.8124704984256934,0.8150243717956956,0.06177730880512776,0.4042672471188423,0.6080481481933648,0.6119445455737184,0.20767729845487595,0.24323681706475161,0.48000580378614566,0.48263453955413727,0.2393977224893857,0.15338457843795558,0.3955283951933994,0.3874998031513147,0.23411522471335922,-0.0709867739088271,-0.035081244505177675,-0.03603925666994886
7,1.0037616452863138,0.7532470629905679,0.8219549570320352,0.8256585968210164,0.07241153383044846,0.4042672471188423,0.5985972464722167,0.6100138424914339,0.20574659537259146,0.24323681706475161,0.39272638253171194,0.41122670210324025,0.16798988503848858,0.15338457843795558,0.3258865017652266,0.3347649909131044,0.18138041247514883,-0.07952030945812211,-0.030032687780333807,0.05461226864065275
8,0.9861259947540939,0.7532470629905679,0.8422852605455664,0.8427797116627965,0.08953264867222868,0.4042672471188423,0.6343876632772121,0.6377345040651435,0.23346725694630127,0.24323681706475161,0.442665964201193,0.4405889741038819,0.19735215703913042,0.15338457843795558,0.3816912652649426,0.3760552398556153,0.2226706614176598,-0.1176154271716649,-0.04323035794448287,0.009881512944592934
