epoch,train_loss,baseline_dice,repaired_dice,delta_dice,baseline_boundary_dice,repaired_boundary_dice,delta_boundary_dice,baseline_aji,repaired_aji,delta_aji,baseline_pq,repaired_pq,delta_pq,delta_high_risk_dice,delta_low_risk_dice,delta_high_risk_error,delta_low_risk_error,delta_confounder_fpr
1,1.474766,0.753247,0.794776,0.041529,0.404267,0.520392,0.116125,0.243237,0.328842,0.085605,0.153385,0.243883,0.090498,0.093125,0.000000,-0.134343,0.000000,-0.019084
2,1.451937,0.753247,0.788365,0.035117,0.404267,0.496868,0.092601,0.243237,0.308619,0.065383,0.153385,0.220405,0.067021,0.091476,0.000000,-0.089730,0.000000,0.014192
3,1.455235,0.753247,0.799132,0.045885,0.404267,0.539614,0.135346,0.243237,0.345921,0.102684,0.153385,0.259440,0.106056,0.101238,0.000000,-0.156201,0.000000,-0.033004
4,1.442504,0.753247,0.771174,0.017927,0.404267,0.511864,0.107596,0.243237,0.365378,0.122141,0.153385,0.249128,0.095743,-0.055854,0.000000,-0.133439,0.000000,-0.115893
5,1.438825,0.753247,0.792442,0.039195,0.404267,0.495937,0.091670,0.243237,0.282796,0.039559,0.153385,0.189342,0.035958,0.104131,0.000000,-0.100229,0.000000,0.023868
6,1.429212,0.753247,0.801264,0.048017,0.404267,0.526402,0.122135,0.243237,0.307651,0.064414,0.153385,0.223998,0.070613,0.122488,0.000000,-0.137814,0.000000,0.007682
