dataset,model,patch_id,category,label,sfrm_score_name,global_score_name,sfrm_score,global_score,score_gap,priority,eval__dice,eval__boundary_dice,eval__boundary_error_area_frac,eval__lecr_boundary_error,eval__lecr_uncertainty
MoNuSeg,point_seed42,TCGA-AC-A2FO-01A-01-TS1_y640_x384,sfrm_hit_global_miss,gray_high_dice_high_boundary_error,boundary_overconfidence_score,global_mean_entropy,0.9980039920159681,0.7245508982035929,0.27345309381237526,0.43679843072643776,0.7341436631456433,0.4482945024070266,0.1633453369140625,0.7623557897681074,0.30162085894459034
MoNuSeg,point_seed42,TCGA-AC-A2FO-01A-01-TS1_y640_x512,sfrm_hit_global_miss,gray_high_dice_high_boundary_error,boundary_overconfidence_score,global_mean_entropy,0.966067864271457,0.7125748502994013,0.2534930139720557,0.4094073206126807,0.7013230254249994,0.4626157668865411,0.155914306640625,0.6816544362863132,0.31471867010171056
MoNuSeg,point_seed42,TCGA-AC-A2FO-01A-01-TS1_y640_x256,sfrm_hit_global_miss,gray_high_dice_high_boundary_error,boundary_overconfidence_score,global_mean_entropy,0.8443113772455089,0.6826347305389222,0.16167664670658666,0.31138062619877416,0.6969439172835614,0.4189842619131511,0.1497039794921875,0.706182969835844,0.307483422563262
MoNuSeg,point_seed42,TCGA-AC-A2FO-01A-01-TS1_y640_x0,sfrm_hit_global_miss,gray_high_dice_high_boundary_error,boundary_overconfidence_score,global_mean_entropy,0.8562874251497007,0.7425149700598803,0.11377245508982037,0.27180773341013287,0.7546955705122971,0.49869123652104835,0.1580352783203125,0.826048811606109,0.27129813445195283
MoNuSeg,point_seed42,TCGA-44-2665-01B-06-BS6_y0_x0,sfrm_hit_global_miss,gray_high_dice_high_boundary_error,boundary_overconfidence_score,global_mean_entropy,0.840319361277445,0.8263473053892216,0.013972055888223367,0.21094776389603587,0.6916989640288073,0.23535552008094265,0.1969757080078125,0.6170355145518042,0.46027329274994766
MoNuSeg,point_seed42,TCGA-2Z-A9J9-01A-01-TS1_y128_x384,both_miss,gray_high_dice_high_boundary_error,boundary_overconfidence_score,global_mean_entropy,0.6986027944111776,0.6706586826347306,0.027944111776446956,0.18106606001863446,0.6921960382520231,0.4112658425929862,0.1531219482421875,0.6959084604667413,0.34544277269820317
MoNuSeg,point_seed42,TCGA-44-2665-01B-06-BS6_y0_x128,both_miss,gray_high_dice_high_boundary_error,boundary_overconfidence_score,global_mean_entropy,0.6866267465069861,0.8203592814371258,-0.1337325349301397,0.0567734465151728,0.6997698521342082,0.2419200611995859,0.1905059814453125,0.6255323412965302,0.4491465729062415
MoNuSeg,point_seed42,TCGA-44-2665-01B-06-BS6_y256_x128,both_miss,gray_high_dice_high_boundary_error,boundary_overconfidence_score,global_mean_entropy,0.6347305389221557,0.8083832335329342,-0.17365269461077848,0.0030593415220340203,0.6873625919502647,0.24564501341558068,0.1767120361328125,0.6123301432844481,0.4278000112912199
