dataset,model,label,score_a,score_b,hypothesis,budget,n_patches,n_sources,positives,score_a_recall,score_b_recall,recall_diff,bootstrap_ci95_low,bootstrap_ci95_high,ci_excludes_zero
consep,point_seed7,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,504,14,126,0.16666666666666666,0.06349206349206349,0.10317460317460317,0.0,0.2737468671679194,False
consep,point_seed7,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,504,14,126,0.19047619047619047,0.05555555555555555,0.1349206349206349,0.05261208576998052,0.24370260299241647,True
consep,point_seed7,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for low-boundary-quality screening.,0.1,504,14,126,0.19047619047619047,0.12698412698412698,0.06349206349206349,-0.09340384615384614,0.1770917338709677,False
consep,point_seed7,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for local boundary-error screening.,0.1,504,14,126,0.16666666666666666,0.2619047619047619,-0.09523809523809526,-0.11812044327792358,0.054066339066339,False
consep,point_seed7,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,504,14,189,0.21693121693121692,0.20634920634920634,0.010582010582010581,-0.028091865801550864,0.0816326530612245,False
