dataset,model,area_bin,n,area_min,area_max,area_mean
monuseg,prototype_seed123,0,34,0.1200103759765625,0.2146453857421875,0.17353192497702205
monuseg,prototype_seed123,1,33,0.2147369384765625,0.2504425048828125,0.23332538026751895
monuseg,prototype_seed123,2,34,0.25067138671875,0.2739715576171875,0.2630888995002298
monuseg,prototype_seed123,3,33,0.27520751953125,0.3321990966796875,0.300923202977036
monuseg,prototype_seed123,4,34,0.33251953125,0.522125244140625,0.4110197179457721
