epoch,train_loss,dice,boundary_dice,aji,pq,confounder_fpr
1,1.5699470440546672,0.008089711512856028,0.010565249685261048,0.0038392882532620517,0.0,0.0016940628345843327
2,1.2881124644052415,0.18526121246703972,0.1366856626012939,0.09235936940827232,0.038220860579950715,0.04626961212618002
3,1.2490506683077132,0.5551045640472497,0.36175098362621155,0.12249324269865841,0.06972768558337276,0.6784441195975783
4,1.1857347658702306,0.711439226606786,0.5706671198040276,0.3242855870679049,0.18977992404375474,0.40544510742415585
5,1.1655497550964355,0.7205100845429615,0.5738731510526667,0.32285503054261705,0.19798225698558236,0.44399108744333105
6,1.1294355789820354,0.7265279355561091,0.5953370027456253,0.3495727157408309,0.21379013293383156,0.3909535983954673
7,1.0895435497874306,0.7429400225494592,0.5991985183416829,0.3555482837600723,0.22483478942342394,0.43167620945708124
8,1.0872679494676136,0.7289005675152151,0.56916411471433,0.33580507964015177,0.20006801197770932,0.46891574347666215
