dataset,model,label,score_a,score_b,hypothesis,budget,n_patches,n_sources,positives,score_a_recall,score_b_recall,recall_diff,bootstrap_ci95_low,bootstrap_ci95_high,ci_excludes_zero
monuseg,prototype_seed42,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,168,14,42,0.19047619047619047,0.14285714285714285,0.047619047619047616,-0.20689655172413793,0.29547558922558914,False
monuseg,prototype_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,168,14,42,0.38095238095238093,0.0,0.38095238095238093,0.12195121951219515,0.576973684210526,True
monuseg,prototype_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for low-boundary-quality screening.,0.1,168,14,42,0.38095238095238093,0.2857142857142857,0.09523809523809523,-0.11538461538461536,0.25,False
monuseg,prototype_seed42,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for local boundary-error screening.,0.1,168,14,42,0.19047619047619047,0.14285714285714285,0.047619047619047616,-0.25,0.2889035087719298,False
monuseg,prototype_seed42,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,168,14,31,0.16129032258064516,0.3870967741935484,-0.22580645161290322,-0.5,0.06393385753931549,False
