dataset,model,label,predictor,feature_set,cv_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
consep,prototype_seed7,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,504,0.05,26,243,3,0.012345679012345678,0.11538461538461539,0.24691358024691357,0.502092050209205,-0.04137610413761039
consep,prototype_seed7,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,504,0.1,51,243,10,0.0411522633744856,0.19607843137254902,0.4115226337448559,0.5143487858719646,-0.0667974818085193
consep,prototype_seed7,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,504,0.2,101,243,27,0.1111111111111111,0.26732673267326734,0.5555555555555555,0.5359801488833746,-0.11166253101736956
consep,prototype_seed7,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,504,0.3,152,243,45,0.18518518518518517,0.29605263157894735,0.6172839506172839,0.5625,-0.16666666666666674
consep,prototype_seed7,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,504,0.05,26,243,23,0.09465020576131687,0.8846153846153846,1.8930041152263373,0.4602510460251046,0.045405237873857196
consep,prototype_seed7,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,504,0.1,51,243,34,0.13991769547325103,0.6666666666666666,1.3991769547325101,0.4613686534216336,0.04308723734772302
consep,prototype_seed7,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,504,0.2,101,243,56,0.23045267489711935,0.5544554455445545,1.1522633744855966,0.4640198511166253,0.03758845694329571
consep,prototype_seed7,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,504,0.3,152,243,81,0.3333333333333333,0.5328947368421053,1.1111111111111112,0.4602272727272727,0.045454545454545525
consep,prototype_seed7,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,504,0.05,26,243,3,0.012345679012345678,0.11538461538461539,0.24691358024691357,0.502092050209205,-0.04137610413761039
consep,prototype_seed7,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,504,0.1,51,243,11,0.04526748971193416,0.21568627450980393,0.45267489711934156,0.5121412803532008,-0.06221895184367576
consep,prototype_seed7,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,504,0.2,101,243,26,0.10699588477366255,0.25742574257425743,0.5349794238683128,0.5384615384615384,-0.11680911680911676
consep,prototype_seed7,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,504,0.3,152,243,44,0.18106995884773663,0.2894736842105263,0.6035665294924555,0.5653409090909091,-0.17255892255892258
