case_type,patch_id,dice,boundary_dice,global_max_entropy,sfrm_probability
Macro-area failure,test_9_y384_x256,0.30360351840250066,0.2194965528361432,0.9701789264413518,0.8177843375013679
Micro-boundary failure,test_13_y384_x640,0.6716969249219764,0.2645444806417619,0.2842942345924453,0.9999915965394112
Low-risk control,test_10_y0_x128,0.8071618372775935,0.5236729559772394,0.03578528827037773,0.023985737704947
