dataset,model,label,score_a,score_b,hypothesis,budget,n_patches,n_sources,positives,score_a_recall,score_b_recall,recall_diff,bootstrap_ci95_low,bootstrap_ci95_high,ci_excludes_zero
consep,point_seed123,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,504,14,126,0.23809523809523808,0.1111111111111111,0.12698412698412698,0.0,0.32078669651423075,False
consep,point_seed123,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,504,14,126,0.3412698412698413,0.1984126984126984,0.14285714285714288,0.014914557646549849,0.38097402597402585,True
consep,point_seed123,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for low-boundary-quality screening.,0.1,504,14,126,0.3412698412698413,0.30158730158730157,0.03968253968253971,-0.08824180114523687,0.08511050634999172,False
consep,point_seed123,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for local boundary-error screening.,0.1,504,14,126,0.23809523809523808,0.1349206349206349,0.10317460317460317,-0.1028800539083558,0.30774336283185816,False
consep,point_seed123,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,504,14,199,0.18090452261306533,0.18592964824120603,-0.0050251256281406975,-0.05505221324990488,0.09286129568106312,False
