dataset,model,label,predictor,feature_set,cv_mode,folds_used,positives,negatives,auroc_raw,auroc_directional,auprc
fets,single_sites18_19_20,high_error_ge_q0.75,predefined::global_max_entropy,predefined_score,none,0,11,33,0.20936639118457295,0.7906336088154271,0.1750697522600464
fets,single_sites18_19_20,high_error_ge_q0.75,predefined::global_mean_margin_uncertainty,predefined_score,none,0,11,33,0.743801652892562,0.743801652892562,0.516266292995542
fets,single_sites18_19_20,high_error_ge_q0.75,predefined::foreground_area_frac,predefined_score,none,0,11,33,0.5151515151515151,0.5151515151515151,0.34265280762165673
fets,single_sites18_19_20,high_error_ge_q0.75,predefined::boundary_risk_score,predefined_score,none,0,11,33,0.26721763085399447,0.7327823691460056,0.18466581498865567
fets,single_sites18_19_20,high_error_ge_q0.75,predefined::boundary_overconfidence_score,predefined_score,none,0,11,33,0.7506887052341598,0.7506887052341598,0.41216999895581374
fets,single_sites18_19_20,high_error_ge_q0.75,predefined::boundary_abnormality_score,predefined_score,none,0,11,33,0.48760330578512395,0.5123966942148761,0.29323967522697103
fets,single_sites18_19_20,high_error_ge_q0.75,predefined::boundary_dual_risk_score,predefined_score,none,0,11,33,0.48484848484848486,0.5151515151515151,0.28862504245965837
fets,single_sites18_19_20,high_error_ge_q0.75,predefined::uncertainty_cluster_score,predefined_score,none,0,11,33,0.21349862258953167,0.7865013774104683,0.17311559773868235
fets,single_sites18_19_20,high_error_ge_q0.75,predefined::topology_risk_score,predefined_score,none,0,11,33,0.7520661157024794,0.7520661157024794,0.6567560207653286
fets,single_sites18_19_20,high_error_ge_q0.75,predefined::sfrm_composite_score,predefined_score,none,0,11,33,0.303030303030303,0.696969696969697,0.1918181596284198
fets,single_sites18_19_20,high_error_ge_q0.75,predefined::sfrm_balanced_score,predefined_score,none,0,11,33,0.4132231404958677,0.5867768595041323,0.23095996234013402
fets,single_sites18_19_20,high_error_ge_q0.75,logistic_l2::global_features,global_features,group_kfold,5,11,33,0.6556473829201102,0.6556473829201102,0.3749709721547666
fets,single_sites18_19_20,high_error_ge_q0.75,lasso_logistic_l1::global_features,global_features,group_kfold,5,11,33,0.6831955922865014,0.6831955922865014,0.3832775810048537
fets,single_sites18_19_20,high_error_ge_q0.75,random_forest::global_features,global_features,group_kfold,5,11,33,0.7107438016528925,0.7107438016528925,0.40544239467164367
fets,single_sites18_19_20,high_error_ge_q0.75,logistic_l2::sfrm_features,sfrm_features,group_kfold,5,11,33,0.6859504132231405,0.6859504132231405,0.5222900766244419
fets,single_sites18_19_20,high_error_ge_q0.75,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,5,11,33,0.699724517906336,0.699724517906336,0.5516739474789011
fets,single_sites18_19_20,high_error_ge_q0.75,random_forest::sfrm_features,sfrm_features,group_kfold,5,11,33,0.7520661157024793,0.7520661157024793,0.6042896497441952
fets,single_sites18_19_20,high_error_ge_q0.75,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,5,11,33,0.6721763085399449,0.6721763085399449,0.5286578424155824
fets,single_sites18_19_20,high_error_ge_q0.75,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,5,11,33,0.6749311294765841,0.6749311294765841,0.541664927613195
fets,single_sites18_19_20,high_error_ge_q0.75,random_forest::all_deployable_features,all_deployable_features,group_kfold,5,11,33,0.7658402203856749,0.7658402203856749,0.575833969951617
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,predefined::global_mean_entropy,predefined_score,none,0,11,33,0.8512396694214877,0.8512396694214877,0.7107024316263447
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,predefined::global_max_entropy,predefined_score,none,0,11,33,0.21763085399449034,0.7823691460055097,0.17685069190863312
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,predefined::global_mean_margin_uncertainty,predefined_score,none,0,11,33,0.862258953168044,0.862258953168044,0.7285769813190762
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,predefined::foreground_area_frac,predefined_score,none,0,11,33,0.6088154269972452,0.6088154269972452,0.38682476456325
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,predefined::boundary_risk_score,predefined_score,none,0,11,33,0.2961432506887052,0.7038567493112948,0.19026143807439733
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,predefined::boundary_overconfidence_score,predefined_score,none,0,11,33,0.7548209366391185,0.7548209366391185,0.41588900722027655
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,predefined::boundary_abnormality_score,predefined_score,none,0,11,33,0.5110192837465565,0.5110192837465565,0.2961478781351739
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,predefined::boundary_dual_risk_score,predefined_score,none,0,11,33,0.4917355371900826,0.5082644628099173,0.2897038417091893
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,predefined::uncertainty_cluster_score,predefined_score,none,0,11,33,0.12258953168044073,0.8774104683195593,0.1590050161386954
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,predefined::topology_risk_score,predefined_score,none,0,11,33,0.7355371900826446,0.7355371900826446,0.6412977947807866
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,predefined::sfrm_composite_score,predefined_score,none,0,11,33,0.23140495867768596,0.768595041322314,0.17994506661557225
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,predefined::sfrm_balanced_score,predefined_score,none,0,11,33,0.3168044077134986,0.6831955922865014,0.20026712212892905
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,logistic_l2::global_features,global_features,group_kfold,5,11,33,0.790633608815427,0.790633608815427,0.6259416262942908
