dataset,model,label,predictor,feature_set,cv_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
