dataset,model,label,score,ranking_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
consep,prototype_seed42,bad_dice_lt_0.65,boundary_abnormality_score__raw_global_ranking,raw_global_ranking,504,0.05,26,199,9,0.04522613065326633,0.34615384615384615,0.9045226130653267,0.39748953974895396,-0.00670717604760207
consep,prototype_seed42,bad_dice_lt_0.65,boundary_abnormality_score__raw_global_ranking,raw_global_ranking,504,0.1,51,199,16,0.08040201005025126,0.3137254901960784,0.8040201005025125,0.40397350993377484,-0.02312888948051528
consep,prototype_seed42,bad_dice_lt_0.65,boundary_abnormality_score__raw_global_ranking,raw_global_ranking,504,0.2,101,199,41,0.20603015075376885,0.40594059405940597,1.0301507537688441,0.3920595533498759,0.007045151314887144
consep,prototype_seed42,bad_dice_lt_0.65,boundary_abnormality_score__raw_global_ranking,raw_global_ranking,504,0.3,152,199,69,0.34673366834170855,0.45394736842105265,1.155778894472362,0.3693181818181818,0.06464138876199177
consep,prototype_seed42,bad_dice_lt_0.65,boundary_dual_risk_score__raw_global_ranking,raw_global_ranking,504,0.05,26,199,10,0.05025125628140704,0.38461538461538464,1.0050251256281406,0.39539748953974896,-0.0014087172262988723
consep,prototype_seed42,bad_dice_lt_0.65,boundary_dual_risk_score__raw_global_ranking,raw_global_ranking,504,0.1,51,199,17,0.08542713567839195,0.3333333333333333,0.8542713567839195,0.40176600441501104,-0.017538021231987777
consep,prototype_seed42,bad_dice_lt_0.65,boundary_dual_risk_score__raw_global_ranking,raw_global_ranking,504,0.2,101,199,32,0.16080402010050251,0.31683168316831684,0.8040201005025125,0.4143920595533499,-0.04951556791401179
consep,prototype_seed42,bad_dice_lt_0.65,boundary_dual_risk_score__raw_global_ranking,raw_global_ranking,504,0.3,152,199,51,0.2562814070351759,0.3355263157894737,0.8542713567839196,0.42045454545454547,-0.06486980356327088
consep,prototype_seed42,bad_dice_lt_0.65,uncertainty_cluster_score__raw_global_ranking,raw_global_ranking,504,0.05,26,199,9,0.04522613065326633,0.34615384615384615,0.9045226130653267,0.39748953974895396,-0.00670717604760207
consep,prototype_seed42,bad_dice_lt_0.65,uncertainty_cluster_score__raw_global_ranking,raw_global_ranking,504,0.1,51,199,11,0.05527638190954774,0.21568627450980393,0.5527638190954773,0.41501103752759383,-0.05108323072315235
consep,prototype_seed42,bad_dice_lt_0.65,uncertainty_cluster_score__raw_global_ranking,raw_global_ranking,504,0.2,101,199,28,0.1407035175879397,0.27722772277227725,0.7035175879396984,0.42431761786600497,-0.07465366534907791
consep,prototype_seed42,bad_dice_lt_0.65,uncertainty_cluster_score__raw_global_ranking,raw_global_ranking,504,0.3,152,199,50,0.25125628140703515,0.32894736842105265,0.8375209380234505,0.42329545454545453,-0.0720648698035633
consep,prototype_seed42,bad_dice_lt_0.65,topology_risk_score__raw_global_ranking,raw_global_ranking,504,0.05,26,199,2,0.010050251256281407,0.07692307692307693,0.20100502512562812,0.4121338912133891,-0.043796387796724234
consep,prototype_seed42,bad_dice_lt_0.65,topology_risk_score__raw_global_ranking,raw_global_ranking,504,0.1,51,199,6,0.03015075376884422,0.11764705882352941,0.3015075376884422,0.4260485651214128,-0.0790375719657892
consep,prototype_seed42,bad_dice_lt_0.65,topology_risk_score__raw_global_ranking,raw_global_ranking,504,0.2,101,199,14,0.07035175879396985,0.13861386138613863,0.3517587939698492,0.45905707196029777,-0.16263700637180944
consep,prototype_seed42,bad_dice_lt_0.65,topology_risk_score__raw_global_ranking,raw_global_ranking,504,0.3,152,199,33,0.1658291457286432,0.21710526315789475,0.5527638190954774,0.4715909090909091,-0.19438099588853364
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_composite_score__raw_global_ranking,raw_global_ranking,504,0.05,26,199,6,0.03015075376884422,0.23076923076923078,0.6030150753768844,0.40376569037656906,-0.022602552511511664
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_composite_score__raw_global_ranking,raw_global_ranking,504,0.1,51,199,11,0.05527638190954774,0.21568627450980393,0.5527638190954773,0.41501103752759383,-0.05108323072315235
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_composite_score__raw_global_ranking,raw_global_ranking,504,0.2,101,199,21,0.10552763819095477,0.2079207920792079,0.5276381909547738,0.44168734491315137,-0.11864533586044379
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_composite_score__raw_global_ranking,raw_global_ranking,504,0.3,152,199,39,0.19597989949748743,0.2565789473684211,0.6532663316582914,0.45454545454545453,-0.1512105984467793
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_balanced_score__raw_global_ranking,raw_global_ranking,504,0.05,26,199,6,0.03015075376884422,0.23076923076923078,0.6030150753768844,0.40376569037656906,-0.022602552511511664
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_balanced_score__raw_global_ranking,raw_global_ranking,504,0.1,51,199,9,0.04522613065326633,0.17647058823529413,0.45226130653266333,0.4194260485651214,-0.06226496722020691
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_balanced_score__raw_global_ranking,raw_global_ranking,504,0.2,101,199,19,0.09547738693467336,0.18811881188118812,0.4773869346733668,0.4466501240694789,-0.13121438457797674
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_balanced_score__raw_global_ranking,raw_global_ranking,504,0.3,152,199,40,0.20100502512562815,0.2631578947368421,0.6700167504187605,0.45170454545454547,-0.1440155322064871
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_entropy__area_ranked,area_stratified_ranking,504,0.05,29,199,20,0.10050251256281408,0.6896551724137931,2.0100502512562812,0.37684210526315787,0.045585823856122754
